蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
6G Satellite,6G,上限1 Tbps,不受限制,高,全球互联网覆盖、车联,全球移动通信系统协会,https://www.gsma.com/,,
TDD LTE,4G,750 Mbps,最长20公里,中,远程教育、智能交通,中兴通讯,https://www.zte.com.cn/,,
5G FWA,5G,1 Gbps,最长200米,中,固定无线上网、企业服务,Verizon,https://www.verizon.com/,,
IoT LTE,4G,150 Mbps,最长15公里,低,智能农业、远程监控,华为技术有限公司,https://www.huawei.com/,,
Ultra-Reliable Low Latency Communication,5G,500 Mbps,最长2公里,高,自动驾驶、工业自动化,Nokia,https://www.nokia.com/,,
LAA,4G,1 Gbps,最长1公里,中,城市拥堵区宽带接入、商用服务,Sprint,https://www.sprint.com/,,
FDD LTE,4G,100 Mbps,最长30公里,中,移动浏览、社交应用,AT&T,https://www.att.com/,,
5G NR,5G,超过10 Gbps,最长500米,高,虚拟现实、增强现实,ITU,https://www.itu.int/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长150米,中,高密度场景无线接入、家庭娱乐,IEEE,https://www.ieee.org/,,
OpenRAN,5G,3 Gbps,最长100公里,中,运营商网络、灵活部署,O-RAN Alliance,https://o-ran-alliance.org/,,
Massive MIMO,5G,8 Gbps,最长300米,高,网络容量提升、用户体验,Samsung,https://www.samsung.com/,,
LTE-U,4G,600 Mbps,最长50公里,中,消费者服务、结合Wi-Fi的运营,DoorDash,https://www.doordash.com/,,
4G VoLTE,4G,150 Mbps,最长20公里,中,增强语音服务、视频通话,Telecom Regulatory Authority,https://www.trai.gov.in/,,
Smart 5G,5G,5 Gbps,最长1公里,高,智能城市、智慧医疗,IBM,https://www.ibm.com/,,
Hybrid 5G,5G,3.5 Gbps,最长500米,高,数据中心、边缘计算,Oracle,https://www.oracle.com/,,
5G NR,5G,1-10 Gbps,最长500米,高,增强现实、智能制造,华为技术有限公司,https://www.huawei.com,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
4G LTE Advanced,4G,150 Mbps,最长80公里,中,移动娱乐、APP服务,全球移动通信系统协会,https://www.gsma.com,,
eMTC,LPWA,1 Mbps,最长15公里,中,智能家居、可穿戴设备,德州仪器,https://www.ti.com,,
Fifth Generation Satellite,5G,250 Mbps,不限,高,全球通信、野外探测,SpaceX,https://www.spacex.com,,
TETRA,专业,不适用,最长50公里,中,公共安全、紧急服务,爱立信,https://www.ericsson.com,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带、城市无线网络,IEEE,https://ieee.org,,
Private LTE,4G,100 Mbps,最长20公里,中,企业网络、制造业,Verizon,https://www.verizon.com,,
6G,6G,超过1 Tbps,预计最长500米,高,虚拟现实、超高清内容传输,未来互联网研究中心,https://www.futureinternet.org,,
CDMA2000 EV-DO,3G,600 kbps - 3 Mbps,最长40公里,中,宽带上网、游戏,高通,https://www.qualcomm.com,,
HSPA Evolution,3.75G,21 Mbps,最长30公里,中,移动数据、视频直播,AT&T,https://www.att.com,,
LSTM,LPWAN,up to 5 kbps,最长25公里,低,农业监控、智能农场,农业科技中心,https://www.agri-tech.com,,
Edge Computing Network,5G,10 Gbps,最长300米,高,边缘计算、实时数据分析,IBM,https://www.ibm.com,,
Vehicular Networks,5G,1 Gbps,不限,高,智能交通、车联网,上汽集团,https://www.saicgroup.com,,
M2M Communication,LPWAN,100 kbps,最长20公里,低,机器对机器通信、自动化,物联网联盟,https://www.iota.org,,
Terahertz Communication,6G,超过400 Gbps,预计最长100米,高,未来网络、极高数据率应用,麻省理工学院,https://www.mit.edu,,
Ambient IoT Networks,LPWAN,500 bps,最长30公里,低,环境监测、智能物品,国际物联网公会,https://www.iiconsortium.org,,
Smart Rail Communication,4G,50 Mbps,最长25公里,中,智能交通、铁路通信,中国铁路通信,http://www.china-railway-communication.com,,
LAA (Licensed Assisted Access),4G,300 Mbps,最长900米,中,高密度地区数据传输,Nokia,https://www.nokia.com/,,
Narrowband IoT (NB-IoT),LPWA,250 kbps,最长10公里,低,智能城市、农业监控,GSMA,https://www.gsma.com/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,高,高清视频播放、在线游戏,Verizon,https://www.verizon.com/,,
Wi-Fi 6E,Wi-Fi,10 Gbps,最长300米,中,企业无线接入、家庭娱乐,Cisco,https://www.cisco.com/,,
5G NR (New Radio),5G,10 Gbps,预计最长1公里,高,无人驾驶、增强现实,Ericsson,https://www.ericsson.com/,,
Fifth Generation Mobile Networks (5G),5G,高达20 Gbps,预计最长1.5公里,高,智慧医疗、智能制造,ITU,https://www.itu.int/,,
TDD-LTE,4G,100 Mbps,最长25公里,中,语音通信、社交媒体应用,中国联通,https://www.chinaunicom.com/,,
5G Fixed Wireless Access,5G,500 Mbps,预计最长500米,中,家庭宽带接入,T-Mobile,https://www.t-mobile.com/,,
Mesh Networking for 5G,5G,高达1 Gbps,最长几百米,高,公共设施联网、事件管理,Qualcomm,https://www.qualcomm.com/,,
Edge Computing 5G,5G,不低于1 Gbps,最大500米,高,实时数据处理、智能监控,Amazon Web Services,https://aws.amazon.com/,,
LPWAN (Low Power Wide Area Network),LPWA,50 kbps,最长30公里,低,农业环境监测、城市基础设施管理,IBM,https://www.ibm.com/,,
音频助理功能网络 (Voice Assistant Networks),VoLTE,最大200 Mbps,最长50公里,中,家庭助理、语音操作设备,Google,https://www.google.com/,,
Hybrid Network Solutions,4G/5G,最大3 Gbps,最长2公里,高,多种网络场景的互操作,Huawei Technologies,https://www.huawei.com/,,
Passive Optical Networks (PON) for Mobile Backhaul,光纤,最高10 Gbps,最长20公里,中,移动网络基础设施,Alcatel-Lucent,https://www.al-enterprise.com/,,
Wireless Private Network (WPN),无线,最高500 Mbps,最长10公里,中,企业内部通信,可可互联网,https://www.keke.com/,,
5G Private Network Solutions,5G,1 Gbps - 10 Gbps,最长500米,高,行业专用网络,Cisco,https://www.cisco.com/,,
Global Mobile Satellite Services (GMSS),卫星,最大256 kbps,不限,高,海上通信、航空测量,Intelsat,https://www.intelsat.com/,,
NP-SAR 5G,5G,2 Gbps,最长300米,高,智能城市、公共安全,Cisco,https://www.cisco.com/,,
LTE-Advanced,4G,300 Mbps,最长50公里,中,高清内容传输、移动办公,爱立信,https://www.ericsson.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能家居、资产监控,华为技术有限公司,https://www.huawei.com,,
GPRS,2G,70 kbps,最长15公里,低,基础数据服务、物联网,Frost & Sullivan,https://www.frost.com/,,
1XRTT,2G,153 kbps,最长25公里,中,语音服务、数据转发,中国信息通信研究院,https://www.caict.ac.cn,,
5G NR,5G,10 Gbps,最长1公里,高,虚拟现实、增强现实,ITU,https://www.itu.int/,,
HSPA+,3.5G,42 Mbps,最长30公里,中,移动数据、视频流,Nokia,https://www.nokia.com/,,
Satellite IoT,卫星通信,10 Mbps,不限,高,全球覆盖、偏远地区,Globalstar,https://www.globalstar.com,,
4G LTE,4G,150 Mbps,最长100公里,中,移动视频、在线游戏,Verizon,https://www.verizon.com,,
5G Sub-6GHz,5G,1 Gbps,最长1公里,高,智慧城市、车联网,Telecoms.com,https://www.telecoms.com/,,
CDMA EV-DO,3G,600 kbps,最长20公里,中,数据服务、视频通话,Sprint,https://www.sprint.com/,,
6G Vision,6G,超过1 Tbps,预计最长500米,极高,全息视频、超高速链接,ITU,https://www.itu.int/,,
TDD LTE,4G,100 Mbps,最长35公里,中,无线数据流、移动办公,ZTE Corporation,https://www.zte.com.cn/,,
WiMAX,4G,70 Mbps,最长50公里,中,无线宽带、城市覆盖,IEEE,https://www.ieee.org/,,
Terrestrial IoT,LPWAN,1 kbps,最长20公里,低,环境监测、智慧农业,Gartner,https://www.gartner.com,,
Fifth Generation Access,5G,3 Gbps,最长3公里,高,医疗远程监控、应急服务,GSMA,https://www.gsma.com,,
Dual-Mode 5G,5G,1.5 Gbps,最长500米,高,AR/VR应用、智能交通,Qualcomm,https://www.qualcomm.com/,,
NB-IoT,LPWA,250 kbps,最远10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
Sub-6 GHz 5G,5G,1 Gbps,最长500米,高,增强现实、虚拟现实,Ericsson,https://www.ericsson.com/,,
4G LTE Advanced,4G,300 Mbps,最长80公里,中,高清视频、在线游戏,Telecom Regulatory Authority,https://www.trai.gov.in/,,
Fixed Wireless Access (FWA),LTE,100 Mbps,最长10公里,中,家庭宽带、企业网络,Nokia,https://www.nokia.com/,,
4G LTE Cat-M1,LPWA,300 kbps,最长20公里,低,智能水表、健康监控,Cisco,https://www.cisco.com/,,
V2X Communication,C-V2X,最大1 Gbps,覆盖500米,高,自动驾驶、车联网,SAE International,https://www.sae.org/,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带接入、公共服务,IEEE,https://www.ieee.org/,,
5G Standalone,5G,超过10 Gbps,最长1公里,高,智能制造、全景直播,Qualcomm,https://www.qualcomm.com/,,
Terahertz Communication,未来6G,超过100 Gbps,预计最长500米,高,未来网、超高速数据中心,MIT Technology Review,https://www.technologyreview.com/,,
7G Communication,未来7G,模拟1000 Gbps,预计最长3公里,高,脑机接口、太空通信,IEEE Spectrum,https://spectrum.ieee.org/,,
Edge Computing Network,分布式计算,约200 Mbps,覆盖范围根据位置,中,实时分析、风控,Accenture,https://www.accenture.com/,,
IoT Narrowband,NB-IoT,数十至几百 kbps,最远30公里,低,智能农业、资产管理,Gartner,https://www.gartner.com/,,
Quantum Communication Network,量子通信,实时传输能力,数十至数百公里,高,数据加密、金融安全,Nature Communications,https://www.nature.com/,,
Urban 5G Network,5G,1 Gbps,覆盖范围2公里,高,城市安全、智慧交通,Cisco,https://www.cisco.com/,,
Satellite LTE,4G,20 Mbps,不受限制,中,极地探险、海洋通讯,Hughes Network Systems,https://www.hughes.com/,,
Dynamic Spectrum Sharing,5G,最大3 Gbps,按照网络条件变化,中,不同技术的融合应用,Ovum,https://www.ovum.com/,,
Private 5G Network,5G,高达10 Gbps,覆盖范围1公里,高,企业专用、工业自动化,Frost & Sullivan,https://www.frost.com/,,
Edge 5G,5G,10 Gbps,最长300米,高,智能城市、无人驾驶,Nokia,https://www.nokia.com/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能表计、资产管理,GSMA,https://www.gsma.com/,,
4G LTE,4G,150 Mbps,最长80公里,中,视频流媒体、网页浏览,Verizon,https://www.verizon.com/,,
Enhanced 4G,4G,200 Mbps,最长60公里,中,云服务、移动支付,AT&T,https://www.att.com/,,
GSM,2G,50-120 kbps,最长40公里,低,语音通话、短信,Ericsson,https://www.ericsson.com/,,
WiMAX,4G,70 Mbps,最长15公里,中,固定无线宽带、应急网络,IEEE,https://www.ieee.org/,,
VoWiFi,WiFi Calling,最大100 Mbps,受限于WiFi覆盖,低,语音通话、视频通话,Open Signal,https://opensignal.com/,,
Private 5G,5G,超过1 Gbps,最长500米,高,工业自动化、制造业,Deloitte,https://www2.deloitte.com/,,
Femtocell,LTE,最大150 Mbps,最长50米,中,家庭和小型办公室,Frost & Sullivan,https://www.frost.com/,,
TETRA,2G,36 kbps,最长30公里,中,应急服务、公共安全,Motorola Solutions,https://www.motorolasolutions.com/,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长20公里,低,环境监测、农业,Semtech,https://www.semtech.com/,,
Massive MIMO,5G,高于5 Gbps,受限于基站配置,高,高密度区域网络,Qualcomm,https://www.qualcomm.com/,,
7G,7G,超过1 Tbps,预计最大10公里,高,虚拟现实、增强现实,ITU,https://www.itu.int/,,
Hyper 5G,5G,最大20 Gbps,最长1公里,高,空间通信、量子信息,IEEE Spectrum,https://spectrum.ieee.org/,,
LAA,4G,500 Mbps,最长500米,中,密集城市环境,OpenSignal,https://www.opensignal.com/,,
Sub-6 GHz,5G,高达3 Gbps,最长1公里,中,宽带替代、农村网络,GSMA,https://www.gsma.com/,,
Public Safety LTE,LTE,最大100 Mbps,最长50公里,中,公共安全、紧急响应,国家公共安全协会,https://www.npsa.org/,,
NB-IoT,LPWA,100-250 kbps,最长10公里,低,智能表计、智能城市,国际电信联盟,https://www.itu.int/,,
LTE-U,4G,最大300 Mbps,最长500米,中,密集城市区域、公共场所,环宇通信,https://www.universal.com/,,
Terahertz 6G,6G,超过1 Tbps,预计最长100米,高,增强现实、虚拟现实,MIT Technology Review,https://www.technologyreview.com/,,
Cellular-V2X,5G,最大200 Mbps,最长300米,中,车联网、自动驾驶,汽车工程师协会,https://www.sae.org/,,
5G NR,5G,高达10 Gbps,最长1公里,高,高清视频传输、远程医疗,GSMA,https://www.gsma.com/,,
C-V2X,LTE,最大100 Mbps,最长500米,中,智能交通系统,国际汽车工程协会,https://www.iaa.de/,,
4G LTE-Advanced,4G,高达1 Gbps,最长10公里,中,高清视频、云计算,电信基础设施委员会,https://www.tiaonline.org/,,
Multi-access Edge Computing (MEC),5G,可达10 Gbps,约200米,高,低延迟应用、智能制造,IEEE ComSoc,https://www.comsoc.org/,,
Wi-Fi 6E,Wi-Fi,最大9.6 Gbps,最长30米,中,家庭和办公室,Wi-Fi联盟,https://www.wi-fi.org/,,
Fifth Generation Fixed Wireless,5G,高达1 Gbps,最长5公里,中,住宅互联网接入,开放无线联盟,https://www.openwireless.org/,,
Satellite IoT,卫星通信,10-100 kbps,不受限,高,环境监测、农业,太空产业协会,https://www.spaceindustryassociation.com/,,
Long Range 5G,5G,最大2 Gbps,最长50公里,中,农业、边远地区服务,农业技术协会,https://www.agritechassociation.org/,,
Private LTE,LTE,高达300 Mbps,最长30公里,中,企业网络、安全通信,企业无线论坛,https://www.enterprise-wireless.org/,,
Fixed 5G,5G,高达1 Gbps,最长3公里,中,城市宽带接入,信息技术与创新基金会,https://www.itif.org/,,
WiGig,802.11ad,最大7 Gbps,最长10米,中,家庭娱乐、高速数据传输,Wi-Fi联盟,https://www.wi-fi.org/,,
Edge Computing 6G,6G,超过100 Gbps,预计最长2公里,高,实时数据处理、自动化,Gartner,https://www.gartner.com/,,
Resilience Network,5G,最大5 Gbps,最长25公里,高,紧急服务、危机响应,政府应急管理局,https://www.fema.gov/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能表计、城市管理,GSMA,https://www.gsma.com/,,
4G LTE-A,4G,300 Mbps,最长50公里,中,高清视频、在线游戏,Cisco,https://www.cisco.com/,,
Dynamic Spectrum Sharing,5G,1 Gbps,最长500米,高,增强现实、智能城市,Vodafone,https://www.vodafone.com/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长200米,中,企业网络、家庭娱乐,Qualcomm,https://www.qualcomm.com/,,
FDD-LTE,4G,150 Mbps,最长30公里,中,移动互联网、社交平台,中兴通讯,https://www.zte.com.cn/,,
毫米波5G,5G,20 Gbps,最长1公里,高,实时传输、智慧医疗,德国电信,https://www.telekom.com/,,
Uplink Booster,2G/3G/4G,最高50 Mbps,最长15公里,低,网络覆盖增强、旅行导航,三星电子,https://www.samsung.com/,,
GSM-R,2G,9.6 kbps,最长60公里,中,铁路通信、警报系统,阿尔卡特朗讯,https://www.alcatel-lucent.com/,,
4G LTE-U,4G,450 Mbps,最长25公里,中,家庭宽带、视频点播,India Times,https://www.indiatimes.com/,,
V2X通信,5G,最多1 Gbps,5公里,高,智能交通、自动驾驶,Niantic,https://nianticlabs.com/,,
IEEE 802.11ax,Wi-Fi 6,10 Gbps,最远约50米,中,高密度网络、游戏,Broadcom,https://www.broadcom.com/,,
TDD-LTE,4G,120 Mbps,最长30公里,中,云计算、智能家居,高通,https://www.qualcomm.com/,,
无人机通信网络,4G/5G,可达10 Mbps,10公里,中,农田监测、空中拍摄,中国无人机产业协会,http://www.cadu.org.cn/,,
C-V2X,5G,1 Gbps,5公里,高,智能车辆、交通管理,阿里巴巴集团,https://www.alibaba.com/,,
灾后恢复网络,3G/4G,100 kbps - 2 Mbps,无需限制,低,紧急通信、救援行动,红十字国际委员会,https://www.icrc.org/,,
LAA (Licensed Assisted Access),4G,300 Mbps,最长20公里,中,数据流量加速、应用增值,Ericsson,https://www.ericsson.com/,,
LPWAN,LPWA,30 kbps,最长100公里,低,智能城市、农业监测,IBM,https://www.ibm.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,在线视频、移动游戏,全球移动通信系统协会,https://www.gsma.com,,
NB-IoT,LPWAN,250 kbps,最长30公里,低,智能城市、农业监测,华为技术有限公司,https://www.huawei.com,,
TDD LTE,4G,300 Mbps,最长25公里,中,移动宽带、数据交换,中国联通,https://www.chinaunicom.com,,
HSPA,3G,14.4 Mbps,最长20公里,中,移动互联网、电信服务,中兴通讯,https://www.zte.com.cn,,
5G NR,5G,10 Gbps,预计最长1公里,高,虚拟现实、增强现实,Ericsson,https://www.ericsson.com,,
WCDMA,3G,384 kbps,最长40公里,中,移动语音、数据服务,诺基亚,https://www.nokia.com,,
LAA,LTE,600 Mbps,预计最长5公里,中,超高清视频、游戏流,AT&T,https://www.att.com,,
固定无线接入,4G,50 Mbps,最长5公里,低,乡村宽带、远程办公室,Frost & Sullivan,https://www.frost.com,,
5G FWA,5G,1 Gbps,预计最长3公里,中,家庭宽带、企业通信,Verizon,https://www.verizon.com,,
Private 5G,5G,2 Gbps,最长1公里,高,工业自动化、智能制造,Cisco,https://www.cisco.com,,
DSL,4G,50-100 Mbps,最长4公里,低,家庭网络、企业办公室,电信研究院,https://www.telecomresearch.cn,,
Ultra-Reliable Low Latency Communications (URLLC),5G,低于1 ms延迟,不限制,高,自动驾驶、远程医疗,5GPPP,https://5g-ppp.eu,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,智能表计、健康监测,GSMA,https://www.gsma.com,,
Haptic Communication,未来科技,未知,预计最长500米,高,虚拟现实、感知互动,MIT Tech Review,https://www.technologyreview.com,,
6G Vision,6G,高达1 Tbps,预计最多10公里,高,超高清视频、无缝连接,NIST,https://www.nist.gov,,
Smart Drone Communication,5G,6 Gbps,最长5公里,中,无人机导航、快速配送,Aerospace Technology Institute,https://www.ati.org.uk,,
Extended Reality (XR),5G,超过10 Gbps,预计最多1公里,高,全息通信、远程协作,Future Communications Research,https://www.fcr.org,,
Telehealth 5G,5G,高达1 Gbps,不限制,中,远程医疗、健康监测,World Health Organization,https://www.who.int,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,中国电信,https://www.chinaunicomm.com/,,
eMBB,5G,1 Gbps,最长500米,中,高清视频流、AR/VR,华为技术有限公司,https://www.huawei.com,,
TDD-LTE,4G,300 Mbps,最长50公里,中,无线宽带、增强型移动服务,Telecom Regulatory Authority,https://www.trai.gov.in/,,
LTE-U,4G,最大300 Mbps,最长1公里,中,密集区网络接入,Verizon,https://www.verizon.com/,,
FDD-LTE,4G,150 Mbps,最长30公里,中,在线游戏、数据服务,AT&T,https://www.att.com,,
