基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
超级接入网络,256 Mbps,1 Gbps,高,世纪互联,https://www.centurylink.com/,,
自组网接入,20 Mbps,300 Mbps,中,CAT网,https://www.cat.com/,,
无线路由器接入,80 Mbps,600 Mbps,中,搜狐科技,https://www.sohu.com/,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE网络,40 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
SD-WAN,20 Mbps,150 Mbps,高,思科系统,https://www.cisco.com,,
光纤与铜缆混合网络 (HFC),50 Mbps,300 Mbps,中,安克科技,https://www.anketech.com,,
毫米波通信,200 Mbps,1 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
DSL（数字用户线）,15 Mbps,60 Mbps,中,网易云,https://cloud.163.com/,,
微波通信,10 Mbps,50 Mbps,低,中国广播电视网络公司,https://www.cbn.com.cn,,
分布式天线系统（DAS）,100 Mbps,400 Mbps,高,京东科技,https://www.jd.com,,
Wi-Fi 5,200 Mbps,3.5 Gbps,中,IT之家,https://www.ithome.com/,,
城域网 (MAN),100 Mbps,1 Gbps,中,华为技术,https://www.huawei.com,,
卫星通信,5 Mbps,100 Mbps,低,欧洲航天局,https://www.esa.int,,
动态带宽分配 (DBA),60 Mbps,600 Mbps,高,中国联通,https://www.chinaunicom.com/,,
无线电频率接入,30 Mbps,250 Mbps,中,百度信息技术,https://www.baidu.com,,
NB-IoT,100 Kbps,250 Kbps,高,中国移动,https://www.chinamobileltd.com/,,
边缘计算网络,250 Mbps,1 Gbps,高,阿里云,https://www.aliyun.com,,
城市光网,1 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
低轨道卫星网络,50 Mbps,200 Mbps,中,Starlink,https://www.starlink.com/,,
通信光纤离子干扰 (FOCI),80 Mbps,400 Mbps,高,Fiber Optic Association,https://www.foa.org,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatell.com/,,
低轨卫星网络,50 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world/,,
光纤快速接入,100 Mbps,1 Gbps,高,电信网,https://www.telecom.com.cn/,,
4G LTE,75 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com/,,
超宽带无线网络,200 Mbps,1.5 Gbps,高,小米科技,https://www.mi.com/,,
机架式光纤接入,1 Gbps,10 Gbps,高,亚马逊AWS,https://aws.amazon.com.cn/,,
高速无线网络,300 Mbps,2 Gbps,高,英特尔公司,https://www.intel.cn/,,
边缘计算网络,600 Mbps,3 Gbps,高,谷歌云,https://cloud.google.com/,,
严密连接网络（SD-WAN）,80 Mbps,400 Mbps,中,华为云,https://www.huaweicloud.com/,,
入户光纤网络,300 Mbps,2.5 Gbps,高,电信研究院,http://www.its.tsinghua.edu.cn/,,
True 5G网络,200 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
城市光纤接入,50 Mbps,500 Mbps,中,软通动力,https://www.isoftstone.com/,,
可见光通信,10 Mbps,100 Mbps,高,中科院,https://www.cas.cn/,,
笔记本移动热点,20 Mbps,120 Mbps,中,京东科技,https://www.jd.com/,,
电力线通信（PLC）,30 Mbps,50 Mbps,低,安利通讯,https://www.amwaycn.com/,,
物联网接入网络,5 Mbps,50 Mbps,中,华为技术,https://www.huawei.com,,
增强型Wi-Fi网络,1 Gbps,6.9 Gbps,高,TP-Link,https://www.tp-link.com/cn/,,
基于5G的智能交通网络,150 Mbps,2 Gbps,高,科大讯飞,https://www.iflytek.com/,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
PLC（电力线通信）,30 Mbps,100 Mbps,中,国家电网,https://www.sgcc.com.cn/,,
无线路由器（Wi-Fi 6E）,1.2 Gbps,9.6 Gbps,中,TP-Link,https://www.tp-link.com,,
宽带光纤接入,100 Mbps,500 Mbps,高,广州移动,https://www.gz.chinamobile.com/,,
卫星宽带,50 Mbps,150 Mbps,中,NASA,https://www.nasa.gov,,
以太网光接入,2 Gbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn,,
固定无线接入 (FWA),125 Mbps,300 Mbps,中,华为技术,https://www.huawei.com,,
IPv6网络,80 Mbps,400 Mbps,高,阿里巴巴,https://www.alibaba.com,,
4G LTE网络,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
毫米波网络（5G）,200 Mbps,2.5 Gbps,高,三星电子,https://www.samsung.com,,
超高速光纤网络,10 Gbps,100 Gbps,高,国际电信联盟,https://www.itu.int,,
网络载波（CPO）,30 Mbps,100 Mbps,中,中国移动,https://www.chinamobileltd.com,,
信号增强技术,60 Mbps,250 Mbps,高,爱立信,https://www.ericsson.com,,
虚拟专用网络（VPN）,500 Mbps,600 Mbps,高,Cisco,https://www.cisco.com,,
边缘计算网络,300 Mbps,900 Mbps,高,Edge Computing Consortium,https://www.edgecomputingconsortium.com,,
高频宽带,100 Mbps,400 Mbps,中,日本电信电话公司 (NTT),https://www.ntt.com,,
云计算平台网络,1 Gbps,10 Gbps,高,微软Azure,https://azure.microsoft.com,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
电力线通讯（PLC）,20 Mbps,80 Mbps,中,北京邮电大学,https://www.bupt.edu.cn/,,
数据中心互联,10 Gbps,10 Gbps,高,Red Hat,https://www.redhat.com/,,
微波通信,200 Mbps,300 Mbps,中,常山科技,https://www.cs-technology.com/,,
低空卫星网络,15 Mbps,250 Mbps,中,Globalstar,https://www.globalstar.com/,,
光纤静态传输 (OTN),5 Gbps,20 Gbps,高,诺基亚,https://www.nokia.com/,,
5G家庭宽带,100 Mbps,500 Mbps,高,中国移动,https://www.chinamobileltd.com/,,
边缘计算网络,50 Mbps,300 Mbps,高,Amazon Web Services,https://aws.amazon.com/,,
双工光通信,2 Gbps,5 Gbps,高,光纤设备制造协会,https://www.ofcconference.org/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,IEEE,https://www.ieee.org/,,
光纤中继,1 Gbps,10 Gbps,高,Ciena,https://www.ciena.com/,,
无连接的物联网（IoT）,50 Mbps,150 Mbps,中,思科,https://www.cisco.com/,,
量子通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
音频返回通道,3 Mbps,25 Mbps,中,腾讯云,https://cloud.tencent.com/,,
中继卫星通信,40 Mbps,100 Mbps,中,Inmarsat,https://www.inmarsat.com/,,
NAS网络存储,500 Mbps,1 Gbps,高,Synology,https://www.synology.com/,,
光导纤维,10 Gbps,10 Gbps,高,大唐电信,https://www.digitop.com/,,
光纤传感器网络,特定,特定,中,国内科研杂志,https://www.science.org/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
6G网络,2 Gbps,10 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
卫星互联网（新一代）,100 Mbps,1 Gbps,中,OneWeb,https://www.oneweb.world/,,
电力线宽带,25 Mbps,150 Mbps,低,中国南方电网,http://www.csg.cn,,
毫米波通信,500 Mbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
Wi-Fi 7,2.4 Gbps,30 Gbps,高,IEEE,https://www.ieee.org/,,
低轨道卫星宽带,60 Mbps,300 Mbps,中,Amazon Kuiper,https://www.amazon.com/kuiper,,
激光通信,100 Mbps,500 Mbps,高,MIT,http://www.mit.edu,,
农村宽带接入,10 Mbps,50 Mbps,低,国家农村宽带办公室,http://www.nrc.gov.cn,,
Edge计算网络,1 Gbps,2 Gbps,高,阿里云,https://www.aliyun.com/,,
超宽带（UWB）,20 Mbps,80 Mbps,中,华为技术,https://www.huawei.com,,
基于区块链的网络,50 Mbps,200 Mbps,中,区块链协会,https://www.blockchainassociation.org/,,
智能网格技术,3 Gbps,15 Gbps,高,国际电信联盟,https://www.itu.int/,,
动态频谱共享,150 Mbps,600 Mbps,中,高通技术,https://www.qualcomm.com/,,
量子宽带,300 Mbps,1.5 Gbps,高,量子科技研究所,https://www.quantumtech.org/,,
差异化接入技术,80 Mbps,400 Mbps,高,IEEE Access,https://ieeexplore.ieee.org/Xplore/home.jsp,,
未来基站技术,500 Mbps,5 Gbps,高,未来技术研究院,https://www.futuretech.org/,,
光纤到户 (FTTH),100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无线接入网络 (WLAN),400 Mbps,1.2 Gbps,中,Cisco公司,https://www.cisco.com/,,
数字用户线（ADSL）,1 Mbps,24 Mbps,低,联通科技,https://www.chinaunicom.com/,,
光传输装置 (DWDM),10 Gbps,100 Gbps,高,NEC,https://www.nec.com/,,
电力线通信 (PLC),50 Mbps,500 Mbps,中,格兰特通信,http://www.grandcom.net/,,
红外感应网络,3 Mbps,10 Mbps,低,华为技术,https://www.huawei.com/,,
低轨卫星互联网,40 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world/,,
5G固定无线接入 (FWA),100 Mbps,500 Mbps,高,太平洋网络,https://www.pacificnet.co/,,
虚光纤技术,30 Mbps,300 Mbps,中,清华大学,https://www.tsinghua.edu.cn/,,
容量扩展网络 (Nexus),50 Gbps,400 Gbps,高,AT&T,https://www.att.com/,,
有线电视宽带 (DOCSIS),30 Mbps,150 Mbps,高,Spectrum,https://www.spectrum.com/,,
量子通信网络,特定,特定,高,量子科技研究院,https://www.quantumtech.org/,,
微博网络基础设施,60 Mbps,1 Gbps,中,微博公司,https://www.weibo.com/,,
智能家庭网络,200 Mbps,2 Gbps,高,小米,https://www.mi.com/,,
边缘计算网络,1 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com/,,
区块链通信网络,5 Gbps,50 Gbps,高,Chia Network,https://www.chia.net/,,
超高速宽带网络,25 Gbps,10 Gbps,高,Nokia,https://www.nokia.com/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
4G LTE,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
微波通信,10 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
DSL,1 Mbps,24 Mbps,低,视联科技,https://www.vlone.com,,
无线路由,350 Mbps,3600 Mbps,高,TP-Link,https://www.tp-link.com,,
光纤网络,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobilecom.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,博通科技,https://www.broadcom.com,,
全光网络,500 Mbps,5 Gbps,高,华为技术,https://www.huawei.com,,
动态光网络,100 Mbps,2 Gbps,中,光网科技,https://www.lightnet.com,,
毫米波技术,30 Mbps,1.5 Gbps,中,应用材料公司,https://www.appliedmaterials.com,,
智能家居网络,500 Mbps,1 Gbps,高,小米科技,https://www.mi.com,,
长距离无线网络,25 Mbps,250 Mbps,中,瑞斯通讯,https://www.risecom.com,,
下一代移动网络,200 Mbps,1.2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
有线广播网络,10 Mbps,500 Mbps,中,广播影视大学,https://www.bupt.edu.cn,,
虚拟局域网,150 Mbps,1 Gbps,高,思科系统,https://www.cisco.com,,
超宽带网络,500 Mbps,10 Gbps,高,美国塔夫茨大学,https://www.tufts.edu,,
智能网联汽车网络,100 Mbps,600 Mbps,中,华晨汽车,https://www.brillianceauto.com,,
量子通信网络,特定,特定,高,科研院所,https://www.iapcm.ac.cn,,
光纤到户 (FTTH),100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,150 Mbps,中,Verizon,https://www.verizon.com,,
超宽带 (UWB),1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
DOCSIS 3.1,1 Gbps,10 Gbps,高,CableLabs,https://www.cablelabs.com,,
电力线通信 (PLC),200 Mbps,300 Mbps,中,电力公司,https://www.sgc.com.sg,,
卫星互联网,25 Mbps,600 Mbps,中,OneWeb,https://www.oneweb.world,,
Wi-Fi 6E,1.2 Gbps,10 Gbps,高,Wi-Fi Alliance,https://www.wi-fi.org,,
5G NR,300 Mbps,2 Gbps,高,高通公司,https://www.qualcomm.com,,
蓝牙 5.2,20 Mbps,50 Mbps,低,Bluetooth SIG,https://www.bluetooth.com,,
长距离光通信,500 Mbps,5 Gbps,高,光纤技术公司,https://www.fibertech.com,,
无人机基站网络,10 Mbps,100 Mbps,中,Drones Plus,https://www.dronesplus.com,,
以太网交换机,1 Gbps,1 Gbps,高,思科系统公司,https://www.cisco.com,,
量子通信网络,特定,特定,高,中国科学院,https://www.cas.cn,,
毫米波通信,200 Mbps,1 Gbps,中,IEEE通信协会,https://www.ieee.org,,
超高速隧道光纤,1.5 Gbps,12 Gbps,高,阿里巴巴云计算,https://www.aliyun.com,,
智能家庭网络,500 Mbps,1 Gbps,中,小米科技,https://www.mi.com,,
网络切片技术,50 Mbps,600 Mbps,高,诺基亚,https://www.nokia.com,,
光纤到户（FTTH）,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
移动边缘计算 (MEC),50 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn,,
Wi-Fi 7,2 Gbps,30 Gbps,高,华硕,https://www.asus.com,,
4G LTE,50 Mbps,150 Mbps,低,中国联通,https://www.chinaunicom.com,,
宽带互联网接入 (BBI),30 Mbps,300 Mbps,中,国内网络协会,https://www.cnnic.net.cn,,
卫星互联网 (LEO),100 Mbps,600 Mbps,中,OneWeb,https://www.oneweb.world,,
数字千兆网络,1 Gbps,3 Gbps,中,腾讯云,https://cloud.tencent.com,,
城市光网,200 Mbps,1.5 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
长途光纤网络,150 Mbps,800 Mbps,高,中国网通,https://www.cnc.net.cn,,
OLT和ONUs,20 Mbps,200 Mbps,中,中电信,https://www.chinatelecom.com.cn,,
高密度Wi-Fi网络,1 Gbps,6 Gbps,中,思科系统,https://www.cisco.com,,
用户定制超宽带,300 Mbps,1.5 Gbps,高,小米科技,https://www.mi.com,,
微波接入,100 Mbps,900 Mbps,中,爱立信,https://www.ericsson.com,,
光子网络,400 Mbps,2 Gbps,高,复旦大学,https://www.fudan.edu.cn,,
量子通信网络,特定,特定,高,中国科技大学,https://www.ustc.edu.cn,,
城市5G基站,300 Mbps,1.2 Gbps,中,中国移动,https://www.chinamobileltd.com,,
自适应网络,60 Mbps,500 Mbps,中,百度,https://www.baidu.com,,
光纤到户（FTTH）,200 Mbps,1 Gbps,高,腾讯云,https://cloud.tencent.com,,
混合光纤同 coaxial (HFC),40 Mbps,320 Mbps,中,美国家庭网络,https://www.cablelabs.com/,,
光纤到大楼 (FTTB),100 Mbps,600 Mbps,高,新加坡电信,https://www.singtel.com/,,
LiFi光通信,速度不定,速度不定,中,麻省理工学院,http://www.mit.edu/,,
卫星宽带,25 Mbps,300 Mbps,中,杰因网络,https://www.geneva.net/,,
超级宽带网络,10 Gbps,20 Gbps,高,谷歌,https://www.google.com/,,
微波传输,50 Mbps,500 Mbps,中,印尼电信,https://telkom.co.id/,,
长途光纤网络,400 Mbps,1.5 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
FTTB（光纤到场所）,150 Mbps,1 Gbps,高,挪威Telenor,https://www.telenor.no/,,
毫米波技术,1 Gbps,10 Gbps,中,德州仪器,https://www.ti.com/,,
铝光纤连接,30 Mbps,120 Mbps,低,中国移动,https://www.chinamobileltd.com/,,
Wi-Fi 6E,2 Gbps,9.6 Gbps,高,华硕,https://www.asus.com/,,
以太网,100 Mbps,1 Gbps,中,英特尔,https://www.intel.com/,,
5G NR (新无线电),200 Mbps,1.5 Gbps,高,高通,https://www.qualcomm.com/,,
光纤到农村,50 Mbps,100 Mbps,中,微软,https://www.microsoft.com/,,
中继网络,500 Mbps,2 Gbps,高,诺基亚,https://www.nokia.com/,,
卫星互联网（星链）,40 Mbps,1 Gbps,中,SpaceX,https://www.spacex.com/,,
数字用户线（VDSL）,25 Mbps,120 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,华为技术,https://www.huawei.com,,
高速卫星通信,30 Mbps,750 Mbps,中,全球互联网协会,https://www.internetsociety.org/,,
以太网接入,2 Gbps,2 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
氢基互联网技术,40 Mbps,300 Mbps,高,清华大学,https://www.tsinghua.edu.cn/,,
5G固定无线接入,200 Mbps,500 Mbps,中,中国移动,https://www.chinamobile.com,,
光纤射频接入 (RFoG),150 Mbps,1.5 Gbps,高,国际电信联盟,https://www.itu.int,,
Nbiot网络,50 Kbps,250 Kbps,低,中国联通,https://www.chinaunicom.com/,,
LoRaWAN无线网络,10 Kbps,50 Kbps,中,物联网发展协会,https://www.lora-alliance.org/,,
Wi-Fi 6E,2 Gbps,9.6 Gbps,高,IT之家,https://www.ithome.com/,,
MPLS网络,1 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
窄带互联网,1 Mbps,5 Mbps,中,央视网,https://www.cctv.com,,
云计算网络,10 Gbps,10 Gbps,高,微软,https://www.microsoft.com,,
城市光网,300 Mbps,1 Gbps,高,腾讯云,https://cloud.tencent.com/,,
移动边缘计算,800 Mbps,2 Gbps,中,英特尔,https://www.intel.com,,
无限网络技术,1 Gbps,8 Gbps,低,谷歌,https://www.google.com,,
IPv6网络,500 Mbps,5 Gbps,高,网络信息中心,https://www.nic.com,,
FTTH (光纤到户),300 Mbps,1 Gbps,高,中国电信,https://www.chinaotc.com/,,
DSL (数字用户线),10 Mbps,50 Mbps,中,中国广电,https://www.cbgd.com/,,
光纤网络,500 Mbps,2 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn/,,
LTE (4G),50 Mbps,300 Mbps,中,移动通信联合会,https://www.cmtc.org.cn/,,
6G预商用网络,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
低轨卫星网络,100 Mbps,500 Mbps,低,OneWeb,https://www.oneweb.world/,,
Wi-Fi 7,4.8 Gbps,46 Gbps,中,IEEE,https://www.ieee.org/,,
点对点光纤连接,1 Gbps,1 Gbps,高,光纤协会,https://www.ofcconference.org/,,
混合光纤同轴电缆 (HFC),600 Mbps,3 Gbps,中,康卡斯特,https://www.comcast.com/,,
T1线路,1.5 Mbps,1.5 Mbps,低,AT&T,https://www.att.com/,,
网络接入服务 (NAS),100 Mbps,500 Mbps,高,DOCSIS协会,https://www.cablelabs.com/,,
智能家居网络,50 Mbps,200 Mbps,中,小米科技,https://www.mi.com/,,
分布式天线系统 (DAS),200 Mbps,1 Gbps,高,高通,https://www.qualcomm.com/,,
增强型MIMO技术,150 Mbps,750 Mbps,高,中兴通讯,https://www.zte.com.cn/,,
窄带物联网 (NB-IoT),50 Kbps,100 Kbps,中,华为技术,https://www.huawei.com/,,
Next-Gen PON (新一代无源光网络),2 Gbps,10 Gbps,高,新加坡科技公司,https://www.sit.edu.sg/,,
低延迟边缘计算网络,200 Mbps,1 Gbps,高,亚马逊AWS,https://aws.amazon.com/,,
光纤射频接入 (RFoG),300 Mbps,1.5 Gbps,高,中国光纤网络有限公司,https://www.fiberoptics.net.cn/,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
HFC网络,50 Mbps,500 Mbps,中,有线电视协会,https://www.ncta.com/,,
FTTx（光纤到任何）,800 Mbps,1.5 Gbps,高,全球光纤网络,https://www.globalfiberoptic.com/,,
TP-LINK 5G路由器,200 Mbps,1 Gbps,中,TP-Link技术,https://www.tp-link.com/,,
光纤隧道接入,300 Mbps,2 Gbps,高,光纤传输研究,https://www.fibertransmission.org/,,
卫星互联网,30 Mbps,600 Mbps,中,亚马逊卫星计划,https://www.amazon.com/,,
以太网光接入,1 Gbps,10 Gbps,高,Cisco系统,https://www.cisco.com/,,
4G LTE网络,100 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
LPWAN网络,10 Kbps,10 Kbps,高,物联网先锋,https://www.iotpioneer.com/,,
光包接入网络,1 Gbps,5 Gbps,高,光网络协会,https://www.ona.org/,,
毫米波5G技术,500 Mbps,3 Gbps,中,高通公司,https://www.qualcomm.com/,,
电力线通信,100 Mbps,200 Mbps,中,电力通信研究所,https://www.powercomms.org/,,
局域网Wi-Fi 6E,1 Gbps,8 Gbps,中,Wireless Broadband Alliance,https://www.wballiance.com/,,
超宽带（UWB）,1.5 Gbps,2.5 Gbps,高,IEEE 802.15工作组,https://standards.ieee.org/,,
边缘计算网络,200 Mbps,900 Mbps,中,Edge Computing Consortium,https://www.edgecomputingconsortium.org/,,
智能家居网络,50 Mbps,150 Mbps,高,智能家居协会,https://www.smarthomeassociation.com/,,
下一代宽带网络,5 Gbps,10 Gbps,高,未来网络研究院,https://www.futurenetworks.org/,,
抗干扰Wi-Fi网络,250 Mbps,1 Gbps,高,国际无线电研究所,https://www.irri.org/,,
6G网络技术,2 Gbps,20 Gbps,高,6G研究联盟,https://www.6gresearch.org/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com,,
G.fast,150 Mbps,1 Gbps,中,英特尔,https://www.intel.com,,
4G LTE,50 Mbps,300 Mbps,中,华为技术,https://www.huawei.com,,
LoRaWAN,5 Mbps,50 Mbps,高,洛克希德马丁,https://www.lockheedmartin.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,博通,https://www.broadcom.com,,
NBN光纤,100 Mbps,1 Gbps,高,澳大利亚国家宽带网络公司,https://www.nbnco.com.au,,
微波传输,25 Mbps,200 Mbps,中,多伦多大学,https://www.utoronto.ca,,
智能接入网,10 Mbps,1 Gbps,高,英特尔,https://www.intel.com,,
高维光通信,300 Mbps,1.5 Gbps,高,光通信研究所,https://www.opticalcommunication.org,,
基于SDN的网络,60 Mbps,600 Mbps,中,网络计算研究中心,https://www.networkcomputing.com,,
FTTN（光纤到节点）,40 Mbps,400 Mbps,高,AT&T,https://www.att.com,,
DSL技术,20 Mbps,70 Mbps,中,美国宽带协会,https://www.broadbandassociation.org,,
6G网络,1 Gbps,10 Gbps,高,未来通信研究中心,https://www.futurecommunication.com,,
LTE Advanced,75 Mbps,500 Mbps,中,Verizon,https://www.verizon.com,,
多种接入技术,30 Mbps,300 Mbps,高,高通,https://www.qualcomm.com,,
智能光网,80 Mbps,600 Mbps,中,爱立信,https://www.ericsson.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
DSL接入,10 Mbps,50 Mbps,中,电信研究院,https://www.ict.ac.cn,,
长距离光纤传输,500 Mbps,2 Gbps,高,上海交通大学,https://www.sjtu.edu.cn,,
固定无线接入,30 Mbps,150 Mbps,中,腾讯科技,https://tech.qq.com,,
4G LTE,50 Mbps,300 Mbps,中,中兴通讯,https://www.zte.com.cn,,
