人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智慧城市系统,城市管理、数据分析,政府与科技公司合作,城市居民,清华大学、微软,在研,提升城市管理效率和居民生活质量,整合各类城市数据进行综合管理,智能城市,政府与科技公司合作,公共管理,清华大学、微软,智慧城市系统通过整合城市各类数据，提高管理效率，提升居民生活质量。,未来城市网络,https://www.smartcity.com,2024-10-17,,,,
金融风控系统,机器学习、数据挖掘,银行与金融机构合作,金融业,上海交通大学、平安科技,成熟,降低金融风险，提高客户安全性,分析客户信用数据,金融科技,银行与金融机构合作,金融,上海交通大学、平安科技,金融风控系统利用AI分析客户信用数据，降低金融风险并提高客户安全性。,金融科技研究,https://www.fintechai.com,2024-10-17,,,,
情感计算系统,情感识别、自然语言处理,企业与心理研究机构合作,用户体验设计,中科院、Facebook,在研,提升用户互动体验,情感识别与用户反馈分析,用户体验,企业与心理研究机构合作,信息技术,中科院、Facebook,情感计算系统通过AI情感识别技术，提升用户互动体验与反馈分析。,心理与AI融合,https://www.emotionai.com,2024-10-17,,,,
能源管理系统,预测分析、资源优化,能源公司与科研机构合作,能源行业,中国科学院、壳牌,成熟,提高能源利用效率,实时监控和数据分析,能源科技,能源公司与科研机构合作,能源,中国科学院、壳牌,能源管理系统通通过实时监控数据，优化能源利用效率。,能源科技网,https://www.energytech.com,2024-10-17,,,,
安全监控系统,视频分析、人脸识别,安防公司与技术厂商合作,公共安全,海康威视、大华,在研,提升公共安全监控效率,在公共场合运用人脸识别技术,安全监控,安防公司与技术厂商合作,公共安全,海康威视、大华,安全监控系统通过实时视频分析与人脸识别，提升公共安全监控效率。,安防科技网,https://www.securitytech.com,2024-10-17,,,,
个性化学习平台,教育科技、学习分析,教育机构与科技公司合作,学生,哈佛大学、Coursera,已商用,改善学习效果与便利性,提供个性化学习推荐,教育,教育机构与科技公司合作,教育,哈佛大学、Coursera,个性化学习平台利用AI技术，提供学生个性化学习推荐，改善学习效果与便利性。,教育科技网,https://www.edutech.com,2024-10-17,,,,
智能法律咨询系统,法律咨询、自然语言处理,法律事务所与科技公司合作,法律从业者,清华大学、LexisNexis,在研,提升法律服务效率,提供法律文书分析与建议,法律科技,法律事务所与科技公司合作,法律服务,清华大学、LexisNexis,智能法律咨询系统通过AI法律文书分析技术，提升法律服务效率。,法律科技观察,https://www.legaltech.com,2024-10-17,,,,
虚拟现实培训系统,VR技术、模拟训练,企业培训与教育机构合作,公司员工,南昌大学、Oculus,在研,提升员工培训效果,提供沉浸式培训体验,企业培训,企业培训与教育机构合作,培训与教育,南昌大学、Oculus,虚拟现实培训系统通过沉浸式体验，提升公司员工培训效果。,培训与教育日报,https://www.trainingtech.com,2024-10-17,,,,
智能农作系统,农业监测、数据分析,农民与科技公司合作,农业生产者,中型,在研,提高作物产量与减少资源浪费,利用AI进行土壤与气候数据分析,农业科技,农民与科技公司合作,农业,清华大学、华南农业大学,智能农作系统通过分析土壤和气候数据，帮助农民优化种植决策，从而提高作物的产量。,农业信息网,https://www.agri-info.com,2024-10-17,,,,
智能电网系统,能源管理、数据分析,电力公司与研究机构合作,能源行业,大型,在研,提高电力系统的效率与安全性,AI优化电力分配与管理,能源创新,电力公司与研究机构合作,能源,美国能源部、清华大学,智能电网系统通过AI技术实现电力分配优化，确保更高效和安全的电力配送。,电力网,https://www.powernet.com,2024-10-17,,,,
智能健康管理系统,个性化医疗、数据分析,医院与健康科技公司合作,患者,大型,在研,提供个性化健康服务,健康数据监测与分析,医疗健康,医院与健康科技公司合作,医疗,阿里健康、戴尔医疗,智能健康管理系统通过持续的健康数据监测，为患者提供个性化的医疗计划。,医疗健康论坛,https://www.healthforum.com,2024-10-17,,,,
城市环境监测系统,环境监测、数据分析,地方政府与环境组织合作,居民及政府,大中型,在研,提升城市环境质量,监测空气质量与污染源,环境保护,地方政府与环境组织合作,环保,北京大学、环保部,城市环境监测系统通过分析空气质量数据，助力政府改善城市环境状况。,环保科技,https://www.eptech.com,2024-10-17,,,,
情感识别系统,情感分析、机器学习,企业与研究机构合作,市场营销,中型,在研,提高广告效果与客户体验,分析消费者情感与反馈,市场营销,企业与研究机构合作,市场营销,对话科技、武汉大学,情感识别系统通过分析消费者情感，帮助企业提高广告的定向投放效果。,市场观察网,https://www.marketobservenet.com,2024-10-17,,,,
AI辅助翻译系统,自然语言处理、机器翻译,科技企业合作,翻译行业,中型,已商用,提高翻译精确度与效率,自然语言处理技术应用于翻译,语言服务,科技企业合作,信息技术,谷歌、世纪翻译,AI辅助翻译系统结合自然语言处理技术，提供高效准确的翻译服务。,语言科技网,https://www.langtech.com,2024-10-17,,,,
智能零售系统,图像识别、数据分析,零售商与科技平台合作,零售商,大型,在研,优化购物体验,通过AI对商品进行智能推荐与管理,零售,零售商与科技平台合作,零售,亚马逊、京东,智能零售系统通过AI技术，为顾客提供个性化的购物推荐，优化购物体验。,商业洞察网,https://www.businessinsight.com,2024-10-17,,,,
智能物流系统,物流管理、数据分析,物流公司与IT科技公司合作,物流行业,大型,在研,提高物流配送效率,AI优化运输路线与管理,物流,物流公司与IT科技公司合作,物流,华为、顺丰速运,智能物流系统利用AI技术优化运输路线，提高整体配送效率。,运输科技,https://www.transporttech.com,2024-10-17,,,,
智能教育系统,教育技术、个性化学习,学校与科技企业合作,学生与老师,中型,在研,提升学习效果与个性化服务,利用AI进行学习数据分析与个性化课程推荐,教育,学校与科技企业合作,教育,教育部、腾讯教育,智能教育系统通过分析学生学习情况，为每个学生提供个性化的学习建议。,教育科技网,https://www.edutech.com,2024-10-17,,,,
智能农业管理系统,数据分析、精细农业,农业企业与科研机构合作,农业生产,加州大学、耶鲁大学,在研,提高作物产量和资源利用率,利用AI分析土壤和气候数据,智能农业,农业企业与科研机构合作,农业,加州大学、耶鲁大学,智能农业管理系统通过AI技术分析土壤与气候，提高作物产量和资源利用效率。,《农业信息网》,http://www.agri.com.cn/,2024-10-17,,,,
智能金融分析系统,数据分析、机器学习,金融机构与科技公司合作,投资者,摩根大通、华尔街见闻,已商用,提升投资决策效率,AI分析市场趋势与风险,金融服务,金融机构与科技公司合作,金融,摩根大通、华尔街见闻,智能金融分析系统通过AI技术分析市场数据，帮助投资者提升决策效率。,《金融时报》,https://www.ft.com/,2024-10-17,,,,
智能制造监控系统,工业自动化、深度学习,制造企业内部合作,制造业,西门子、博世,在研,实时监控生产线状态,使用AI监测生产设备健康,工业自动化,制造企业内部合作,制造业,西门子、博世,智能制造监控系统通过AI技术实时监控设备状态，提升生产效率和质量。,《工业机器人网》,http://www.roboticstoday.com/,2024-10-17,,,,
智能教育平台,个性化学习、自然语言处理,学校与教育科技公司合作,学生,Coursera、edX,已商用,提高学习效率,利用AI提供个性化学习建议,教育,学校与教育科技公司合作,教育服务,Coursera、edX,智能教育平台通过AI技术为学生提供个性化学习方案，提升学习效率。,《教育研究》,http://www.jyjy.com/,2024-10-17,,,,
智能城市管理系统,城市管理、数据分析,政府与咨询公司合作,城市居民,阿里巴巴、IBM,在研,提高城市管理效率,整合城市各类数据进行分析与决策,智慧城市,政府与咨询公司合作,公共服务,阿里巴巴、IBM,智能城市管理系统通过数据分析提升城市管理效率，实现智能化运营。,《城市规划》,http://www.planning.gov.cn/,2024-10-17,,,,
智能语音翻译系统,自然语言处理、机器翻译,科技公司与研究机构合作,国际用户,百度、Google,已商用,消除语言障碍,提供实时语音翻译服务,语言服务,科技公司与研究机构合作,信息技术,百度、Google,智能语音翻译系统通过AI技术实现不同语言之间的即时翻译，消除沟通障碍。,《科技日报》,http://www.stdaily.com/,2024-10-17,,,,
智能情绪识别系统,情感分析、可靠性评估,企业与科研机构合作,客户服务,腾讯、哈佛大学,在研,提升客户互动质量,分析客户反馈情感状态,客户关系管理,企业与科研机构合作,客户服务,腾讯、哈佛大学,智能情绪识别系统通过AI分析客户反馈，提升互动质量和满意度。,《客户关系管理杂志》,http://www.crmjournal.com/,2024-10-17,,,,
智能影院推荐系统,推荐系统、机器学习,电影公司与技术团队合作,观众,Netflix、腾讯视频,已商用,提升观影体验,基于用户行为推荐个性化影片,娱乐,电影公司与技术团队合作,文化娱乐,Netflix、腾讯视频,智能影院推荐系统通过AI分析用户偏好，推荐个性化影片，提升观影体验。,《娱乐产业观察》,http://www.entertainmentobserver.com/,2024-10-17,,,,
智能环境监测系统,物联网、数据分析,政府与环保机构合作,社会公众,中国环境监测总站、NASA,在研,提升环境保护监测能力,实时监测空气与水质,环境保护,政府与环保机构合作,环境保护,中国环境监测总站、NASA,智能环境监测系统通过数据分析实现对空气和水质的实时监测，提升环境保护能力。,《环境保护部》,http://www.mee.gov.cn/,2024-10-17,,,,
