名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能窗帘系统,Lutron,Serena,五年保修,Lutron OS,Lutron Electronics,ARM Cortex-A8,Texas Instruments CC2640,APP控制与语音控制,家居控制助手,光线调节，隐私保护,家庭自动化,2022-02-20,智能家居评测,https://www.smarthome.com,,
智能冰箱,Samsung,RF23M8570SR,三年保修,Samsung Smart Hub,三星电子,ARM Cortex-A55,Broadcom BCM43684,触控与语音控制,食物保鲜助手,智能库存管理，食谱推荐,家庭厨房,2023-05-12,家电产品分析,https://www.samsung.com,,
智能家庭照明系统,Philips,Hue Bridge,两年保修,Philips Hue OS,Philips Lighting,ARM Cortex-M3,NXP LPC1768,APP控制与语音控制,智能照明助手,调节亮度与色温，定时开关,家庭照明,2021-11-01,智能家居技术论坛,https://www.philips.com,,
智能音响,Apple,HomePod Mini,一年保修,HomePod OS,Apple Inc.,Apple S5,Broadcom BCM4377,语音控制,音响助手,高保真音质，智能助手功能,家庭娱乐,2020-11-06,科技产品评测网,https://www.apple.com,,
智能门锁,Yale,YRD256,三年保修,Yale Smart Lock OS,Yale Security,ARM Cortex-M4,NXP JN5169,APP控制与指纹识别,家庭安全助手,智能解锁，安全监控,家庭安防,2023-01-15,安防领域分析,https://www.yale.com,,
智能热水器,A.O. Smith,BTH-199,五年保修,Connected Device OS,A.O. Smith Corp.,ARM Cortex-A7,Microchip PIC32MZ,APP控制,家庭热水管理工具,智能加热，温度监控,家庭热水,2023-03-22,家电技术杂志,https://www.aosmith.com,,
智能厕所座圈,Toto,Washlet S550e,三年保修,Toto Smart OS,Toto Ltd.,ARM Cortex-M3,Texas Instruments MSP430,遥控与触控控制,卫生管理助手,智能清洗、加热座圈,家庭卫浴,2021-09-30,卫生设备渠道,https://www.totousa.com,,
智能浴缸,Kohler,K-898,三年保修,Kohler Smart OS,Kohler Co.,ARM Cortex-A53,NXP i.MX8M,APP控制与语音控制,浴室管理工具,智能温度控制，水流调节,家庭卫浴,2022-11-10,卫浴产品分析,https://www.kohler.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe Brand,ARM Cortex-M4,Espressif ESP8266,APP控制,宠物管理助手,定时喂食，摄像头监控,家庭宠物管理,2023-02-15,宠物市场分析,https://www.petsafe.net,,
智能咖啡机,Nestlé,Nespresso Vertuo,两年保修,Nespresso OS,Nestlé Nespresso,ARM Cortex-A9,Nordic Semiconductor nRF52840,触控与APP控制,饮料管理助手,智能预约煮咖啡，杯量选择,家庭饮品制作,2022-08-20,咖啡设备评测,https://www.nespresso.com,,
智能跑步机,NordicTrack,Commercial 1750,两年保修,iFit OS,ICON Health & Fitness,ARM Cortex-A72,Ambarella H22,触控与APP控制,健身管理助手,实时心率监测，个性化训练计划,家庭健身,2023-04-05,健身器材行业分析,https://www.nordictrack.com,,
智能烟雾探测器,Nest,Protect,五年保修,Nest OS,Google Nest,ARM Cortex-M4,Ti CC2650,APP控制与语音控制,家庭安全监测器,烟雾探测，实时报警,家庭安全,2022-06-14,安全设备市场报告,https://store.google.com,,
智能按摩椅,Human Touch,HT-5040,三年保修,Human Touch OS,Human Touch LLC,ARM Cortex-A15,Texas Instruments Tiva,遥控与APP控制,健康管理工具,全身按摩，调节强度,家庭健康管理,2023-07-11,健康科技产品分析,https://www.humantouch.com,,
智能空气净化器,Dyson,Purifier Cool,三年保修,Dyson Link OS,Dyson Ltd.,ARM Cortex-A53,Qualcomm QCA4020,APP控制与语音控制,环境监测工具,空气质量检测，自动调节,家庭环境,2023-08-15,家电技术分析,https://www.dyson.com,,
智能家庭健身系统,Peloton,Bike+,两年保修,Peloton OS,Peloton Interactive,ARM Cortex-A76,Qualcomm Snapdragon 660,APP控制与触控控制,健身教练助手,实时课程，健身数据记录,家庭健身,2022-10-10,健身行业报告,https://www.onepeloton.com,,
智能气象站,Netatmo,Weather Station,两年保修,Netatmo OS,Netatmo,ARM Cortex-M0,Si7021,APP控制,气象监测工具,实时气温、湿度监测，空气质量检测,家庭环境监测,2020-10-01,智能家居科技论坛,https://www.netatmo.com,,
智能冰箱,三星,RF28R7201SR,三年保修,Samsung Smart Hub,三星电子,Exynos 7870,APL0918,触控与APP控制,食物管理助手,智能食材管理，温控调节,家庭厨房,2021-12-05,家电市场观察,https://www.samsung.com,,
智能电饭煲,小米,Mi Rice Cooker 4L,三年保修,Mi Home OS,小米科技,ARM Cortex-A53,MTK MT2502,APP控制,智能烹饪助手,智能定时煮饭，口味推荐,家庭厨房,2022-08-25,智能家居畅谈,https://www.mi.com,,
智能咖啡机,Philips,HD8652/96,两年保修,Senseo OS,飞利浦,ARM Cortex-M3,STM32F4,触控与APP控制,咖啡调节助手,一键制咖啡，智能调制,家庭咖啡体验,2022-06-10,生活家居评测,https://www.philips.com,,
智能窗帘,Lutron,Serena,五年保修,Lutron Smart Home,Lutron Electronics,ARM Cortex-A9,CC2530,APP控制与语音控制,家居自动化组件,远程控制开合，光线调节,家庭遮光,2020-11-12,家居设计杂志,https://www.lutron.com,,
智能健身手环,华为,Band 6,两年保修,HarmonyOS,华为技术有限公司,Kirin A1,Nordic nRF52840,触控,健康追踪助手,睡眠监测，心率检测,家庭健康管理,2021-04-20,智能健康产品评测,https://www.huawei.com,,
智能宠物喂食器,Petnet,SmartFeeder,一年保修,Petnet OS,Petnet Inc.,ARM Cortex-M0,ESP8266,APP控制,宠物护理助手,定时喂食，摄入量跟踪,宠物照顾,2022-01-30,宠物科技新闻,https://www.petnet.com,,
智能灯泡,飞利浦,Hue White and Color,五年保修,Hue Bridge,飞利浦照明,ARM Cortex-M3,ESP32,APP控制与语音控制,智能照明管理,自定义颜色与亮度调节,家庭照明,2021-03-15,照明技术杂志,https://www.philips-hue.com,,
智能恒温器,Nest,Learning Thermostat,五年保修,Nest OS,谷歌,ARM Cortex-A9,AP320,触控与APP控制,温控管理工具,智能学习用户习惯，节能调节,家庭温控,2022-09-20,家居科技展,https://www.nest.com,,
智能插座,TP-Link,Kasa Smart Plug,两年保修,Kasa Smart,TP-Link,ARM Cortex-M4,ESP8285,APP控制,家庭智能控制,远程控制家电开关，定时功能,家庭电器管理,2021-05-15,智能家居技术网站,https://www.tp-link.com,,
智能耳机,索尼,WH-1000XM4,一年保修,Sony Adaptive Sound Control,索尼公司,ARM Cortex-A55,W9425G6JH,触控与语音控制,音效优化工具,噪声消除，音效优化,家庭娱乐,2021-02-28,音响技术评论,https://www.sony.com,,
智能家居中央控制器,SmartThings,SmartThings Hub,三年保修,SmartThings OS,三星电子,ARM Cortex-A53,MT7697,APP控制,家居自动化中心,集成智能设备管理与监控,家庭智能控制,2022-03-03,智能家居产品报告,https://www.smartthings.com,,
智能音响,亚马逊,Echo Dot (4th Gen),一年保修,Alexa OS,亚马逊,ARM Cortex-A55,Qualcomm QSC605,语音控制,语音助手,音乐播放，智能控制,家庭娱乐与控制,2020-10-22,智能家居新闻,https://www.amazon.com,,
智能垃圾处理机,FoodCycler,FC-50,两年保修,FoodCycler OS,FoodCycler,ARM Cortex-A7,ESP32,APP控制,废物管理助手,快速分解厨房垃圾，环保处理,家庭清洁与环境保护,2022-11-01,环保科技论坛,https://www.foodcycler.com,,
智能家庭监控系统,小米,Mi Home Security Camera,三年保修,Mi OS,小米科技,ARM Cortex-A53,HiSilicon Hi3516,APP控制与语音,安全监控助手,1080P高清视频，夜视功能,家庭安全,2022-08-20,电子产品市场调查,https://www.mi.com,,
智能窗帘控制器,Philips,Hue Smart Blinds,两年保修,Philips OS,Philips Lighting,ARM Cortex-M0,Nordic nRF52832,APP与语音控制,光线监测工具,自动控制窗帘开合，节能省电,家庭节能,2022-05-30,智能家居论坛,https://www.philips.com,,
智能空气净化器,Dyson,Dyson Pure,五年保修,Dyson Link,Dyson Ltd.,ARM Cortex-A53,Microchip PIC16F,APP与语音控制,空气质量监控器,去除99.95%的有害颗粒物，实时监控空气质量,家庭健康,2023-02-15,家居家电评测,https://www.dyson.com,,
智能冰箱,LG,LG InstaView,三年保修,LG SmartThinQ,LG电子,ARM Cortex-M7,Qualcomm Snapdragon,触控与APP控制,食品管理助手,智能管理食材，远程监控温度,家庭厨房,2022-03-18,家电行业分析,https://www.lg.com,,
智能喂猫器,Petnet,SmartFeeder,一年保修,自研OS,Petnet Inc.,ARM Cortex-M4,Nordic nRF52840,APP控制,宠物健康管理工具,定时喂食，摄取量监控,家庭养宠,2023-04-25,宠物科技周刊,https://www.petnet.io,,
智能炉具,Samsung,Samsung SmartCook,五年保修,Samsung Tizen,三星电子,ARM Cortex-A55,Broadcom BCM2837,触控与APP控制,烹饪助手,精准温控，智能烹饪指南,智能厨房,2023-06-01,厨房电器年度报告,https://www.samsung.com,,
智能地板清洁机器人,iRobot,Roomba i7+,三年保修,iRobot OS,iRobot Corp.,ARM Cortex-A53,NXP LPC1768,APP控制与语音,家庭清洁助手,自动导航清洁，污垢检测,家庭日常清洁,2022-09-01,清洁设备科技展,https://www.irobot.com,,
智能浴室镜,Kohler,Kohler Moxie,两年保修,自研OS,Kohler Co.,ARM Cortex-M4,Qualcomm QCA4002,触控与APP控制,浴室管理工具,音响功能、智能灯光调控,家庭浴室,2023-01-25,卫浴设备行业研究,https://www.kohler.com,,
智能宠物监控摄像头,Furbo,Furbo Dog Camera,一年保修,自研OS,Furbo Inc.,ARM Cortex-A53,Ambarella A12,APP与语音控制,宠物监控助手,实时视频监控，喂食提醒,家庭养宠,2023-08-03,宠物科技观察,https://www.furbo.com,,
智能健康秤,Withings,Body Cardio,两年保修,Health Mate App,Withings,ARM Cortex-M4,Texas Instruments CC2640,APP控制,健康监测工具,心率监测，体脂分析,家庭健康,2023-04-15,健康科技杂志,https://www.withings.com,,
智能水质监测器,Bluefish,Bluefish Water Quality Monitor,一年保修,自研OS,Bluefish Technologies,ESP32,Nordic nRF52832,APP控制,水质检测助手,实时监控水质变化,家庭水务管理,2023-07-22,水务科技趋势报告,https://www.bluefish.com,,
智能电子门锁,Yale,Yale Assure Lock,五年保修,Yale App,Yale Security,ARM Cortex-A7,NXP NCI,APP控制与指纹识别,家庭安全工具,智能门锁，远程开锁,家庭安防,2023-05-30,家庭安全技术分析,https://www.yale.com,,
智能药品储存柜,Care4U,Smart Medicine Cabinet,一年保修,自研OS,Care4U Inc.,ARM Cortex-M4,STM32F401,APP控制,药物管理助手,智能提醒，药品过期监控,家庭健康管理,2023-09-15,健康科技前沿,https://www.care4u.com,,
智能烘干机,Whirlpool,Whirlpool Smart Dryer,三年保修,Whirlpool App,惠而浦公司,ARM Cortex-A53,ESP32,触控与APP控制,家务管理助手,智能烘干，节能模式,家庭洗衣,2023-10-10,家电技术趋势报告,https://www.whirlpool.com,,
智能窗帘控制系统,Philips,Hue Curtain Control,三年保修,Philips Hue OS,Philips Lighting,ARM Cortex-M0,Texas Instruments CC2530,APP控制与语音,智能家居助手,自动调节光照和隐私,家庭客厅,2023-06-01,智能家居技术报告,https://www.smart-hometech.com,,
智能空气净化器,小米,Mi Air Purifier 4,两年保修,MIUI Home,小米科技,ARM Cortex-A53,MediaTek MT7621,语音控制与APP,空气质量监测器,智能感应空气质量，实时过滤,家庭卧室,2023-02-20,家电前沿技术,https://www.mi.com,,
智能热水器,Ao Smith,GHP-35,五年保修,Smart Heat OS,Ao Smith,ARM Cortex-A7,Qualcomm QCA4010,APP控制,水温管理助手,智能调节出水温度，节能优化,家庭浴室,2022-08-01,家电行业动态,https://www.aosmith.com,,
智能音响,Google,Nest Audio,一年保修,Google Assistant,Google LLC,Tera 1000,Amlogic S905X3,语音控制,音频控制助手,语音控制，音乐播放，家居控制,家庭娱乐,2020-10-05,消费电子展,https://store.google.com,,
智能门锁,Yale,Assure Lock SL,三年保修,Yale Connect,Yale Security,ARM Cortex-M4,NXP PN532,APP控制与指纹,家庭安全助手,实时监控访问权限，远程开锁,家庭安全,2021-05-20,家庭安全创新,https://www.yale.com,,
智能洗衣机,Samsung,WD90T554DBN,五年保修,Smart Wash OS,Samsung Electronics,ARM Cortex-A55,Qualcomm Snapdragon 410,触控与APP,衣物护理助手,自动洗涤模式，衣物状态监测,家庭清洁,2022-12-01,家电市场评估,https://www.samsung.com,,
智能家居中心,Apple,HomePod mini,一年保修,HomePod OS,Apple Inc.,Apple S5,W1,语音控制,家庭控制中心,音乐播放、家居设备控制、语音助手,家庭娱乐与控制,2021-11-16,电子产品评测,https://www.apple.com,,
智能宠物喂食器,PetSafe,Smart Feed,三年保修,PetSafe Connect,PetSafe Brand,ARM Cortex-M0,NXP LPC11U68,APP控制,宠物健康助手,定时喂食，喂食量监控,家庭宠物护理,2022-05-15,宠物科技论坛,https://www.petsafe.com,,
智能防水音响,JBL,Flip 6,一年保修,JBL Connect,Harman International,ARM Cortex-A53,Qualcomm QCC3050,蓝牙与APP,音频播放助手,高保真音质，防水设计,户外活动,2021-07-07,消费音响评测,https://www.jbl.com,,
智能体重秤,Withings,Body+,两年保修,Withings Health OS,Withings,ARM Cortex-M4,Nordic nRF52810,APP控制,健康监测工具,测量体重，BMI，脂肪率,家庭健康管理,2021-03-20,健康科技资讯,https://www.withings.com,,
智能锁水阀,Rachio,Smart Water Valve,三年保修,Rachio OS,"Rachio, Inc.",ARM Cortex-M4,Esp32,APP控制,水资源管理工具,智能监测和控制家庭用水,家庭花园,2023-04-22,环境科技期刊,https://www.rachio.com,,
智能研磨咖啡机,Breville,BES870XL,两年保修,Breville Smart,Breville Group,ARM Cortex-A53,Esp8266,APP控制,咖啡制作助手,智能研磨，最优冲泡,家庭厨房,2022-11-11,咖啡科技论坛,https://www.breville.com,,
智能养生壶,COSORI,Smart Kettle,两年保修,COSORI Smart,COSORI,ARM Cortex-M3,Nordic Semiconductor nRF52832,触控与APP,饮品管理助手,智能温度控制及时段设定,家庭饮品制作,2023-01-25,厨房电器发展报告,https://www.cosori.com,,
智能保温杯,Xiaomi,Mi Smart Thermos,两年保修,Mi Home,小米科技,ARM Cortex-M0,Esp32,APP控制,饮品保持助手,智能控温，实时监测饮品温度,家庭饮用水管理,2022-09-09,智能家居创新,https://www.mi.com,,
智能灯光控制系统,Philips,Hue White and Color Ambiance,两年保修,Philips OS,Philips Lighting,ARM Cortex-A53,Silicon Labs EFR32MG1,APP控制与语音,智能照明助手,智能调节亮度和色彩，定时开关,家庭照明,2022-04-20,智能家居技术报告,https://www.smart-home-tech.com,,
智能门锁,August,Smart Lock Pro,三年保修,August OS,August Home,ARM Cortex-M4,Nordic nRF52840,APP控制与指纹识别,安全管理工具,智能开锁，访问控制,家庭安防,2023-08-15,家庭安防技术分析,https://www.homesecuritytech.com,,
智能养鱼系统,Fluval,Smart Aquarium Kit,两年保修,Fluval OS,Fluval Aquarium,ARM Cortex-A7,Espressif ESP8266,APP控制,水族管理助手,水质监测与自动换水,家庭水族,2023-09-30,水族信息杂志,https://www.aquariuminfo.com,,
智能冰箱,Samsung,RF23M8570SR,五年保修,Samsung Smart Hub,Samsung,Exynos 7570,Broadcom BCM4335,触控与语音控制,家庭饮食管理,智能食材管理与订购,家庭厨房,2021-11-05,家电行业分析,https://www.samsung.com,,
智能洗衣机,LG,WM4000HWA,三年保修,LG ThinQ,LG Electronics,ARM Cortex-A53,MediaTek MT2601,APP控制与语音,洗衣管理助手,智能洗衣模式，节能洗涤,家庭洗衣,2022-03-25,家电市场研究,https://www.lg.com,,
智能空气净化器,Dyson,TP01,两年保修,Dyson Link,Dyson,ARM Cortex-M4,TI CC2652R,APP控制与触控,空气质量监测,实时空气质量检测，过滤器更换提示,家庭健康,2023-06-18,空气质量科研报告,https://www.dyson.com,,
智能可视对讲系统,Aiphone,JOS-1VW,五年保修,Aiphone OS,Aiphone Corporation,ARM Cortex-A9,Qualcomm Snapdragon 410,触控与APP控制,家庭安防助手,远程可视对讲，提高家庭安全,家庭安防,2024-01-10,家庭安防科技展,https://www.aiphone.com,,
智能瑜伽垫,Liforme,Liforme Yoga Mat with Tracker,一年保修,Liforme OS,Liforme,ARM Cortex-M0+,NXP LPC810,APP控制,运动反馈助手,姿势监测与训练反馈,家庭健身,2023-07-01,运动科技创新报告,https://www.liforme.com,,
智能耳机,Sony,WH-1000XM4,一年保修,Sony Headphones Connect,Sony Corporation,ARM Cortex-A53,Qualcomm QCC5140,触控与语音控制,音频管理助手,主动噪声取消，音质优化,家庭娱乐,2021-09-01,音频技术评测,https://www.sony.com,,
智能温控器,Nest,Learning Thermostat,五年保修,Nest OS,Google Nest,ARM Cortex-A7,NXP i.MX 7Dual,触控与语音控制,家庭温控助手,自学习温控，节能设置,家庭温控,2022-05-30,家电行业分析,https://www.nest.com,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,PetSafe OS,"PetSafe Network, LLC",ARM Cortex-M4,Nordic nRF52832,APP控制,宠物管理助手,定时喂食监控，食量管理,家庭宠物护理,2024-02-14,宠物科技新闻,https://www.petsafe.com,,
智能手表,Apple,Apple Watch Series 8,一年保修,watchOS,Apple Inc.,S8 SiP,Apple W3,触控与语音控制,健康监测助手,心率监测，活动跟踪,家庭健康与运动,2022-09-15,科技评测网站,https://www.apple.com,,
