品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
Fjällräven,G-1000、Eco-Shell,高,耐用、防水、可持续,登山服、背包,公司官网,https://www.fjallraven.com/,,
Patagonia,Capilene、Hemp,高,透气、环保、舒适,户外服、运动衫,公司环保报告,https://www.patagonia.com/,,
Gymshark,Sculpt、Vita,中,紧身、弹性好、舒适,健身裤、运动内衣,流行趋势报告,https://www.gymshark.com/,,
Gymshark,Sculpt、Vita,中,紧身、弹性好、舒适,健身裤、运动内衣,流行趋势报告,https://www.gymshark.com/,,
Lululemon,Nulu、Swift,高,超柔软、排汗快、透气性佳,瑜伽裤、运动背心,公司官网,https://www.lululemon.com/,,
Daiwa,T帆布、超轻聚酯,中,防水、耐磨、适合户外,钓鱼服、户外夹克,户外博览会,https://www.daiwa.com/,,
Reebok,Cotton Blend、Speedwick,高,速干、舒适、弹性强,健身器械服、训练短裤,运动品牌汇展,https://www.reebok.com/,,
New Balance,Fresh Foam、NB Ice,高,超轻、透气、减震,跑鞋、运动袜,市场调研,https://www.newbalance.com/,,
Puma,Nike Air、性能聚酯,高,增强支撑、快速干燥,篮球鞋、足球服,用户反馈调查,https://www.puma.com/,,
Under Armour,HeatGear、ColdGear,高,温度调节、舒适、透气,训练服、保暖内衣,网上评论分析,https://www.underarmour.com/,,
Skechers,Air-Cooled Memory Foam、Goga Mat,中,记忆泡沫、极佳舒适度,休闲鞋、健身鞋,顾客评价,https://www.skechers.com/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保暖、透气,滑雪服、登山外套,户外装备评测,https://www.columbia.com/,,
Patagonia,Recycled Polyester、Organic Cotton,高,环保、舒适、耐用,休闲夹克、运动背心,可持续发展会议,https://www.patagonia.com/,,
North Face,GORE-TEX、ThermoBall,高,防水、轻便、热绝缘,户外装备、睡袋,公司发言人访谈,https://www.thenorthface.com/,,
ASICS,FluidFit、GEL,高,灵活、舒适、支撑性强,跑步鞋、训练靴,专业运动评测,https://www.asics.com/,,
H&M,Lenzing Modal、Cotton,中,柔软、环保、透气,居家服、时尚T恤,时尚杂志,https://www.hm.com/,,
Lands' End,Twill Polyester、Cotton Blend,中,抗皱、耐磨、经典设计,休闲衬衫、裤子,品牌官网,https://www.landsend.com/,,
Falke,Merino Wool、Polyamide,高,保暖、舒适、透气性好,运动袜、保暖内衣,时尚展会,https://www.falke.com/,,
Mammut,Drytech、Thermo Insulation,高,防水、防风、绝缘,登山衣、专业外套,户外活动,https://www.mammut.com/,,
Uniqlo,Airism、Ultra Light Down,中,轻便、舒适、快干,外套、运动服,市场宣传,https://www.uniqlo.com/,,
Fjällräven,G-1000、Eco-Shell,高,耐久、透气、环保,旅行背包、户外服,可持续发展论坛,https://www.fjallraven.com/,,
Under Armour,Threadborne、HeatGear,高,轻量、抗菌、透气性好,运动T恤、跑步短裤,行业展会,https://www.underarmour.cn/,,
Lululemon,Nulu、Luxtreme,高,超柔软、透气、极佳舒适度,瑜伽裤、运动文胸,客户反馈调查,https://www.lululemon.cn/,,
New Balance,Fresh Foam、Hypoknit,高,缓震、灵活性、舒适,跑鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
Xtep,CoolMax、Anti-Fog,中,干爽、抗雾、适合潮湿环境,运动短裤、户外装备,科研机构报告,https://www.xtep.com/,,
Li-Ning,AeroTech、R-Training,高,轻量、透气、舒适贴合,篮球鞋、运动服,公司新闻发布会,http://www.lining.com/,,
PUMA,NITRO、ORIGINALS,高,极致缓震、穿着舒适,运动鞋、运动套装,专业运动杂志,https://www.puma.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保暖、透气,外套、冲锋衣,用户评测,https://www.columbia.com.cn/,,
Asics,GEL、Dyneema,高,舒适、轻量、优良支撑,跑步鞋、情侣跑步服,客户服务中心,https://www.asics.cn/,,
H&M,Bamboo Fabric、Repreve,中,环保、透气、适合日常穿着,休闲服、运动衫,环保产品评估,https://www.hm.com/,,
Everlast,Moisture-Wicking、Stretch Fabric,中,吸湿排汗、活动自如,拳击服、运动服饰,体育用品展览,https://www.everlast.com.cn/,,
Arc'teryx,GORE-TEX、Fortius,高,防水、极耐磨、适合极端天气,登山夹克、户外背包,户外探险报告,https://www.arc'teryx.com/,,
Royal Robbins,Transit、Eco-Wash,中,干洗、快干、环保,旅行服、休闲裤,环保协会报告,https://www.royalrobbins.com/,,
Brooks,BioMoGo、DNA Loft,高,回弹、舒适、优良减震,跑鞋、跑步服,行业评审,https://www.brooksrunning.cn/,,
On Running,CloudTec、Helion,高,极致舒适、耐磨、轻质,跑鞋、户外鞋,运动鞋评测,https://www.on-running.cn/,,
Mizuno,AeroHug、ThunderBolt,高,减震、贴合、透气,跑鞋、运动服,运动科学研究,https://www.mizunocn.com/,,
Speedo,Endurance+、PowerFLEX,高,耐磨、快干、舒适合体,泳衣、泳裤,品牌发布会,https://www.speedo.cn/,,
Patagonia,NetPlus、H2No,高,极具环保、水密性高,户外装备、环保服饰,环保运动会议,https://www.patagonia.com/,,
Reebok,Flexweave、Cotton Blend,中,弹性极佳、舒适合体,健身服、运动鞋,消费者满意度调查,https://www.reebok.cn/,,
安踏,AIR MESH、EVA,高,透气、轻量、支撑力好,跑步鞋、训练鞋,公司官网,https://www.anta.com/,,
H&M,Recycled Polyester、Tencel,中,环保、柔软、吸湿,休闲服、运动服,环保展会,https://www.hm.com/,,
新百伦,Fresh Foam、Hypoknit,高,舒适、缓震、贴脚,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com/,,
Fabletics,PowerHold、Velocity,高,压缩性、透气、快干,瑜伽裤、运动服,用户体验调查,https://www.fabletics.com/,,
Columbia,Omni-Tech、Omni-Shade,高,防水、防晒、透气,户外夹克、裤子,户外运动展,https://www.columbia.com/,,
Lululemon,Nulu、Luxtreme,高,舒适、轻盈、适合运动,瑜伽服、运动内衣,公司官网,https://www.lululemon.com/,,
Kate Spade,Tech Stretch、Sustainable Nylon,中,时尚、易打理、舒适,休闲服装、手袋,时尚博览会,https://www.katespade.com/,,
Under Armour,UA RUSH、Threadborne,高,增益性能、快干、高弹性,运动衫、紧身裤,公司官网,https://www.underarmour.com/,,
Reebok,Cotton Blend、Flexweave,中,舒适透气、耐磨,健身鞋、运动服,健身论坛,https://www.reebok.com/,,
Patagonia,Hemp、Organic Cotton,高,环保、耐用、透气,户外服装、背包,环境保护展,https://www.patagonia.com/,,
Skechers,Air Cooled、Ventilated,中,透气、轻便、舒适,运动鞋、休闲鞋,公司官网,https://www.skechers.com/,,
North Face,GORE-TEX、ThermoBall,高,防水、保暖、轻便,登山服、外套,用户体验调查,https://www.thenorthface.com/,,
Zara,Smart Stretch、EcoVero,中,时尚、舒适、可持续,休闲装、工作服,时尚周,https://www.zara.com/,,
Asics,GEL、FlyteFoam,高,缓冲、轻量、舒适,跑步鞋、运动服,公司官网,https://www.asics.com/,,
Salomon,Advanced Skin、SensiFit,高,贴合、保暖、透气,越野跑鞋、户外夹克,户外活动示范,https://www.salomon.com/,,
Gymshark,Nylon Blend、Nexus,中,适合运动、舒适、透气,健身服、运动内衣,社会媒体广告,https://www.gymshark.com/,,
HOKA,Meta-Rocker、Engineered Mesh,高,流线设计、舒适、减震,跑步鞋、越野跑鞋,跑步博览会,https://www.hokaoneone.com/,,
李宁,Coolmax、轻量化纤维,高,透气性强、吸湿排汗、轻便,跑步T恤、运动夹克,公司官网,https://www.lining.com/,,
New Balance,Fresh Foam、Hypoknit,高,舒适缓震、灵活适应脚型,跑鞋、休闲鞋,消费者反馈报告,https://www.newbalance.cn/,,
Under Armour,UA Tech、Iso-Chill,高,快速干燥、降温效果良好,运动T恤、训练短裤,行业分析报告,https://www.underarmour.cn/,,
PUMA,NITRO泡沫、Re:Picked,高,环保、舒适、极致回弹,运动鞋、休闲鞋,公司新闻发布,https://www.puma.com.cn/,,
GAP,EcoSoft、宽松弹性纤维,中,柔软、耐磨、适合日常穿,休闲服、牛仔裤,公司官网,https://www.gap.cn/,,
H&M,Conscious选择面料、动感聚酯,中,环保、透气、时尚,休闲装、运动服,新闻报道,https://www.hm.com/,,
Alo Yoga,Airlift、Maya,高,高弹性、隐私保护、舒适合体,瑜伽服、运动文胸,行业杂志,https://www.aloyoga.com/,,
On Running,CloudTec、Superlight,高,超轻量、反弹力强、舒适,跑步鞋、训练鞋,用户评论,https://www.on-running.com/,,
Asics,GelTechnology、SpEVA,高,减震、适应性强、舒适,跑步鞋、专业训练鞋,市场调查,https://www.asics.com.cn/,,
Columbia,Omni-Tech、Thermo-regulating,高,防水、抗寒、透气,户外夹克、徒步鞋,户外活动展示会,https://www.columbia.com/,,
Lululemon,Vibrant Luxe、SoftStretch,高,舒适、吸湿排汗、时尚造型,运动紧身裤、瑜伽服,消费者使用反馈,https://www.lululemon.com/,,
Fabletics,PowerHold、SilkySoft,高,高弹性、塑形效果好,运动套装、休闲装,社交媒体调查,https://www.fabletics.com/,,
Mammut,DRYtech、Highloft,高,防水、保暖、透气,登山服、户外装备,行业刊物,https://www.mammut.com/,,
Decathlon,WATERPROOF、WARM,中,适合各种天气、舒适,户外服装、滑雪装备,产品发布会,https://www.decathlon.com/,,
Roxy,EcoWise、SustainableBlend,中,环保、舒适、适合海滩,泳衣、沙滩裙,公司动态,https://www.roxy.com/,,
Patagonia,HempReimagined、RecycledWool,高,环保、透气、耐用,户外服、运动外套,社交平台报告,https://www.patagonia.com/,,
Quiksilver,DryFlight、Performance Stretch,高,防水、灵活、舒适,冲浪服、运动短裤,行业潮流预测,https://www.quiksilver.com/,,
New Balance,Fresh Foam、Ndurance,高,抗震、耐用、舒适,跑步鞋、训练鞋,用户评论分析,https://www.newbalance.com.cn/,,
哥伦比亚,Omni-Tech、Omni-Wick,高,防水、透气、速干,户外夹克、登山装备,户外运动展,https://www.columbia.com.cn/,,
Lululemon,Nulu、Luxtreme,高,极轻、柔软、舒适性强,瑜伽裤、运动文胸,社交媒体活动,https://www.lululemon.com/,,
Under Armour,Threadborne、UA HOVR,高,舒适合脚、抗撕裂、轻巧,运动鞋、训练服,品牌发布会,https://www.underarmour.cn/,,
光明国际,EcoCotton、AirMesh,中,环保、透气、亲肤,休闲服、家居服,市场调研,https://www.guangming.com/,,
FILA,Breathe Tech、LightRun,高,透气性强、极致舒适、轻量化,运动鞋、休闲服,品牌官网,https://www.fila.cn/,,
Nike,Flyknit、Aeroswift,高,轻量化、适应性强、舒适,跑鞋、马拉松服,行业报告,https://www.nike.com/,,
Asics,GEL、FlyteFoam,高,减震、回弹性好、轻便,运动鞋、跑步装备,健身博览会,https://www.asics.com/,,
谋智,Tafetta、M-Shield,中,防水、耐磨、舒适,冲锋衣、户外裤,消费者反馈,https://www.mz.com.cn/,,
Puma,RUNR、PWRRUN,中,动态适应、舒适、耐磨,运动鞋、训练服,市场趋势分析,https://www.puma.com/,,
H&M,Conscious、Lenzing,中,环保、时尚、舒适,休闲服、时尚潮服,环保时尚展,https://www.hm.com/,,
Reebok,Floatride、Flexweave,高,舒适、灵活、减震,训练鞋、健身服,市场调研,https://www.reebok.com/,,
Superdry,SDTech、Recycled Materials,中,耐磨、舒适、复古风格,休闲服、外套,品牌合作活动,https://www.superdry.com.cn/,,
唯品会,CottonMix、Cooling Tech,高,透气、舒适、适合夏季,棉质 T 恤、休闲裤,网络销售数据,https://www.vip.com/,,
ZARA,Bamboo Fiber、EcoRecycled,中,环保、透气、舒适,时尚搭配、休闲服,时尚周报道,https://www.zara.com/,,
Abercrombie & Fitch,SoftTouch、AiryBlend,中,柔软、透气、时尚设计,休闲服、短裤,社交媒体趋势,https://www.abercrombie.com/,,
Patagonia,Synchilla、H2No,高,耐磨、抗风、防水,户外夹克、背包,环保品牌分析,https://www.patagonia.cn/,,
Vans,UltraCush、Recycled Canvas,中,舒适、耐用、适合街头风格,运动鞋、滑板鞋,品牌发布活动,https://www.vans.com/,,
FILA,Thermore Fleece,高,保暖、透气、轻薄,运动外套、夹克,公司官网,https://www.fila.com.cn/,,
New Balance,NB Dry、Fresh Foam,高,快干、舒适、支撑性好,跑鞋、健身服,公司官网,https://www.newbalance.com.cn/,,
匡威,Chuck Taylor Canvas,中,耐磨、经典、透气,帆布鞋、款式多样,消费者反馈,https://www.converse.com.cn/,,
Lorna Jane,LJ Active,高,抗菌、速干、无缝,运动文胸、瑜伽裤,时尚杂志,https://www.lornajane.com.au/,,
Under Armour,UA HOVR,高,负重缓冲、舒适、吸震,运动鞋、健身服装,行业展会,https://www.underarmour.cn/,,
Lululemon,Nulu、Lyra,高,柔软、轻量、贴身,瑜伽服、运动裤,社交媒体评测,https://www.lululemon.com/,,
Nike,AeroSwift,高,超轻、透气、快速干燥,专业跑步服、比赛服,运动科学研究,https://www.nike.com.cn/,,
Adidas,Climacool、PARLEY,高,环保、风扇效应、针对高温设计,篮球鞋、运动背心,尖端科技发布,https://www.adidas.cn/,,
PUMA,Rider Foam,中,弹性、舒适、适合日常穿着,休闲鞋、运动裤,时尚博主,https://www.puma.com.cn/,,
Sprinter,Eco DryFit,高,可回收材料、耐用，提升运动表现,跑步服、训练短裤,国际运动时尚展,https://www.sprinter.com.au/,,
Reebok,Floatride Energy,中,轻量、灵活、舒适脚感,健身鞋、运动服,健身博客,https://www.reebok.com.cn/,,
The North Face,Futurelight,高,防水透气、舒适、环保材料,户外服、登山装备,户外杂志,https://www.thenorthface.com.cn/,,
Columbia,Omni-Tech,高,防水透气、耐磨性强,登山服、冲锋衣,用户评价,https://www.columbia.com.cn/,,
Hex Brand,EcoTech Recycled,中,再生材料、流行设计,背包、旅行袋,环保研讨会,https://www.hexbrand.com/,,
H&M,Conscious Cotton,中,可持续、舒适、适合日常穿着,休闲服、T恤,公司官网,https://www.hm.com.cn/,,
Lululemon,Everlux,中,快速干燥、舒适、经久耐用,瑜伽服、运动套装,运动科技展,https://www.lululemon.com/,,
Oiselle,Breeze Mesh,高,透气性强、舒适、适合高强度运动,跑步上衣、运动短裤,跑步学校,https://www.oiselle.com/,,
ASICS,GEL科技,高,减震效果好、舒适,跑鞋、训练服,运动器材店,https://www.asics.com.cn/,,
Under Armour,Threadborne、UA Tech,高,快干透气、柔软舒适、抗异味,运动T恤、训练裤,公司官网,https://www.underarmour.com.cn/,,
Lululemon,Nulu、Luon,高,极致柔软、舒适贴身、高回弹,瑜伽裤、运动背心,用户反馈调查,https://www.lululemon.com/,,
李宁,反向水洗尼龙、满减透气网,中,抗水、防污、透气,风衣、运动裤,公司官网,https://www.lining.com/,,
New Balance,Fresh Foam、Mesh,高,缓震、轻巧透气、动态支撑,跑鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
北面,GORE-TEX、FlashDry,高,防水透气、快速干燥、保暖,户外夹克、登山裤,公司官网,https://www.thenorthface.com.cn/,,
H&M,EcoVero、Lyocell,中,环保、舒适、透气性好,休闲裤、普通T恤,公司官网,https://www.hm.com/,,
Puma,RS-X技术,高,极速反弹、缓震效果显著、轻量,运动鞋、休闲鞋,品牌发布会,https://www.puma.com/,,
GAP,Stretch Canvas、Recycled Polyester,中,耐磨、舒适透气、环保,休闲服、牛仔裤,消费者调查,https://www.gap.cn/,,
Fila,PowerLite、SoleShield,高,轻量回弹、抗拉伸、湿气控制,运动鞋、网球服,品牌活动,https://www.fila.com.cn/,,
Uniqlo,AIRism、UV Cut,高,透气干爽、抗紫外线、轻薄,基础款T恤、衬衫,公司官网,https://www.uniqlo.cn/,,
Decathlon,Kalenji Fabric、Ecodesign,中,舒适、透气、可持续,跑步装备、健身器材,消费者反馈,https://www.decathlon.cn/,,
Alo Yoga,AirLift、Vibe,高,极致保暖、轻便、柔韧性强,瑜伽服、运动短裤,品牌新闻发布,https://www.aloyoga.com/,,
Hoka One One,EVA Foam、Compression Mesh,高,极致缓震、轻量、支持性好,跑步鞋、越野鞋,跑步杂志评测,https://www.hokaoneone.com/,,
Riot Society,Cotton Blend、Burnout,中,柔软、透气、时尚印花,街头服、休闲搭配,社交媒体市场调查,https://www.riotsociety.com/,,
Skechers,Air-Cooled Memory Foam、Mesh,高,透气、舒适记忆、减震,休闲鞋、锻炼鞋,用户反馈,https://www.skechers.com.cn/,,
Mizuno,Mizuno Enerzy、AeroHug,高,极致反弹、包裹感强、透气,跑鞋、训练服,专业运动评测,https://www.mizunocn.com/,,
On Running,CloudTec、Helion,高,轻便、缓震、极力支持,跑鞋、运动服,行业报告,https://www.on-running.com/,,
Bamboo Clothing,Bamboo Viscose、Organic Cotton,中,环保、柔软舒适、抗菌,休闲衣、内衣,可持续时尚杂志,https://www.bamboo-clothing.com/,,
Under Armour,Threadborne,高,轻量、舒适、弹性好,运动外套、T恤,公司官网,https://www.underarmour.cn/,,
New Balance,Fresh Foam,高,减震、舒适、透气性良好,跑步鞋、训练鞋,用户反馈,https://www.newbalance.cn/,,
Lululemon,Nulu,高,柔软、透气、光滑,瑜伽裤、运动bra,公司官网,https://www.lululemon.cn/,,
