育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
植物基因组育种,非常规育种,性状改良,植物,全基因组关联分析,进行中,全面解析作物基因组,通过基因组分析实现精准育种,高产作物,科研机构合作,农业、食品产业,大型农业企业,通过全面解析作物的基因组结构加速育种进程。,Plant Physiology,https://academic.oup.com/plphys,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物,基因组测序,进行中,提高作物性状预测准确性,利用基因组选择技术进行高效选择,作物育种,高校、研究机构合作,农业、食品产业,国际农业研究所,通过基因组信息提前预测性状，提高育种效率。,国际农业研究论坛,https://www.cgiar.org,2024-09-29,,,,
合成生物学育种,非常规育种,新特性开发,植物、微生物,合成基因组,探索中,创造可控的生物系统,通过合成生物学手段构建新生命形式,抗病性和环境适应性,研究机构、企业合作,生物科技产业,合成生物学研究中心,通过合成基因组重构生物特征，实现定向育种。,自然杂志,https://www.nature.com,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因编辑,进行中,精确修改基因,采用CRISPR技术进行基因组精准编辑,农业、医学,国际合作，跨学科研究,生物科技产业,全球生物技术公司,使用CRISPR技术对特定基因进行精准编辑，产生新性状。,生物技术杂志,https://www.biotechniques.com,2024-09-29,,,,
转基因技术育种,非常规育种,性状改良,植物,基因转移,已应用,提高抗虫害和耐药性,通过转基因方式引入抗性基因,农作物,高校、政府合作,农业、食品产业,农业大学,利用转基因技术将抗虫害基因导入植物，增强作物抵抗力。,国际粮食政策研究所,https://www.ifpri.org,2024-09-29,,,,
细胞培养技术,非常规育种,特性研究,植物,细胞分裂,进行中,实现快速繁殖,利用细胞培养技术进行植物繁殖,植保，种苗生产,企业合作,农业、园艺产业,各大植物保护企业,通过细胞培养加快新品种的生产过程。,园艺研究杂志,https://www.horttechnology.org,2024-09-29,,,,
精准育种技术,常规育种,性状改良,植物,数据分析,进行中,提升育种效率,利用大数据分析育种数据,作物育种,学术机构、企业合作,农业、食品产业,全球农业技术公司,通过数据分析方案提供精准育种策略。,农业科学期刊,https://www.apsnet.org,2024-09-29,,,,
生物信息学育种,非常规育种,性状优化,植物,计算模拟,探索中,通过信息学提升性状选择,应用生物信息学进行新性状建模,遗传研究,研究机构、企业合作,生物科技产业,各大遗传研究机构,利用生物信息学手段优化育种过程，提升育种效率。,遗传学杂志,https://www.genetics.org,2024-09-29,,,,
表型组学育种,常规育种,多性状选择,植物,表型分析,进行中,提升多性状选择效率,通过表型组学研究实现精准选择,作物育种,科研机构合作,农业、食品产业,国内外多家农业学会,通过表型组学对植物性状进行系统性分析，提升育种效率。,植物科学最新研究,https://www.plantscience.org,2024-09-29,,,,
机器人辅助育种,非常规育种,自动化育种,植物,机器人操作,进行中,提升育种作业效率,利用自动化机器人辅助育种过程,高效农业,企业、研究机构合作,农业、科技产业,机器人技术研究所,使用机器人技术降低人工成本，提高育种效率。,农业机器人技术,https://www.agrobotics.com,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物、动物,基因组分析,进行中,提高遗传选择效率,利用基因组信息加速育种进程,作物、家畜育种,企业、政府合作,生物科技产业,农科院、企业研发中心,通过基因组选择，培育更加适应环境的新品种。,科学网,https://www.sciencenet.cn/,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因编辑技术,进行中,精准改良性状,利用CRISPR/Cas9系统进行基因修饰,作物改良,高校、科研机构合作,农作物育种,各大生物技术公司,通过基因编辑，实现对特定基因的精准改造。,Nature,https://www.nature.com/,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,完成,增强抗虫性,通过转基因技术引入抗虫基因,农作物保护,政府、私企合作,农业、食品产业,生物科技公司、农业科研机构,培育抗虫害的转基因作物，提升农业产量与质量。,农业新闻网,https://www.agrinews.cn/,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,植物、微生物,合成基因组,进行中,构建定制基因组,利用合成生物学技术创造新型基因组,生物技术,科研机构、技术公司,生物能源,合成生物学实验室,构建具特定功能的生物模型，以满足生产需求。,生物技术杂志,https://www.biotechmag.com/,2024-09-29,,,,
抗逆性育种,常规育种,性状改良,植物,田间试验,完成,提高抗逆性,通过选择和繁殖抗逆性强的品种,作物科学,地方政府、农民合作社,农业,各地农业大学,选育适应恶劣环境的作物品种，提高农作物抵御环境变化的能力。,中国乡村发展,https://www.chinacountryside.com/,2024-09-29,,,,
细胞脱分化育种,非常规育种,性状改良,植物,细胞培养,进行中,恢复优良性状,通过细胞脱分化技术重建植物性状,园艺植物,企业、科研单位,园艺产业,植物园、实验室,通过细胞脱分化，恢复植物的原始性状及抗性。,园艺学报,https://www.hortjournal.com/,2024-09-29,,,,
双代育种,常规育种,性状突破,植物,代交技术,进行中,打破遗传障碍,通过双亲杂交来打破性状的遗传鸿沟,水稻 breeding,高校、农场,农业,水稻研究所,采用双代技术，培育具有新性状的作物，连结优良基因。,国际植物育种,https://www.ipgb.org/,2024-09-29,,,,
表观遗传育种,非常规育种,性状改良,植物、动物,表观遗传调控,进行中,影响基因表达,通过表观遗传改变调控生物性状,生物技术,高校、政府研究机构,农业、食品产业,生物技术公司,利用表观遗传学知识，改善作物与动物的特性。,PLoS Biology,https://journals.plos.org/plosbiology/,2024-09-29,,,,
转座子育种,非常规育种,性状改良,植物,转座子介导,进行中,产生遗传多样性,通过转座子调控基因表达，创造多样性,生物技术,国际合作研发,农业、生物科技,相关实验室,利用转座子的特点，培育不同性状的新种。,Frontiers in Plant Science,https://www.frontiersin.org/journals/plant-science,2024-09-29,,,,
基因检测育种,常规育种,性状改良,植物、动物,基因组测序分析,进行中,增强抗病性,通过基因组测序识别优良基因,农业生物技术,学术机构、企业合作,生物科技产业,全球农业研究机构,利用基因检测技术，加速作物和动物的性状改良。,中国农业科学院,http://www.caas.cn,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因靶向编辑,进行中,提高抗旱性,通过CRISPR技术编辑特定基因以提升性状,作物改良,学术机构、政府合作,农业、食品产业,各大高校及研究所,利用CRISPR技术，定向修改植物基因，提高其抗逆能力。,Nature Publishing Group,https://www.nature.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,植物、动物,基因合成与组装,进行中,创造新型外源植物,通过合成生物学技术打造优质植物基因组,食品安全、可持续农业,国际合作、企业投资,生物科技产业,全球知名科技公司,运用合成生物学技术，设计与创建新型生物物种。,Science Direct,https://www.sciencedirect.com,2024-09-29,,,,
精准育种技术,非传统育种,性状提高,植物、家禽,表型选择与基因关联,进行中,快速选育优良品种,结合多组学技术，实施精准选择,新型农业,政府与私人部门合作,农业、食品产业,多所大学与企业实验室,结合基因组与表型数据，加速育种进程。,Agri-Tech East,https://www.agri-tech-e.co.uk,2024-09-29,,,,
转基因疫苗开发育种,很少使用的技术,增强抗病性,动物,基因转移,进行中,提高动物疫苗效果,引入抗病基因提升疫苗效果,兽医科学,疫苗开发公司与大学合作,生物科技产业,国际兽医实验室,通过转基因技术提高现有疫苗的有效性。,PLOS Biology,https://journals.plos.org/plosbiology/,2024-09-29,,,,
生态育种,综合育种,环境适应,植物,自然选择,进行中,提升生物多样性,通过选择适应性强的品种提高生态适应性，不断优化作物基因组,持续农业,农业社区及大学,农业、环保产业,社区农业组织,通过生态友好方式提升农作物的适应能力。,FAO,http://www.fao.org,2024-09-29,,,,
微生物育种,生物技术育种,改良作物抗性,植物,微生物接种,进行中,提高作物产量,通过微生物处理提高作物生长与抗性,土壤生物技术,企业与农业公司,农业、食品产业,各大农业研究实验室,利用微生物技术促进植物的生长和免疫力。,Frontiers in Plant Science,https://www.frontiersin.org/journals/plant-science,2024-09-29,,,,
育种数据挖掘,数据驱动育种,提高育种效率,所有类群,数据分析软件,进行中,优化育种决策,利用AI和数据分析提高育种计划的效率,科技农业,农业研究与数据公司,农业、信息技术,AI基础研究机构,通过数据挖掘技术，加快育种决策并提高精准度。,AgFunder News,https://agfundernews.com,2024-09-29,,,,
组织培养育种,常规育种,种质改良,植物,离体培养,进行中,保持优良种质,利用组织培养技术繁殖优质植物,果树、花卉育种,科研机构与园艺公司,农业、绿化产业,各大植物工厂,通过组织培养方法，维持和推广优质植物种质。,Horticulture Research,https://www.nature.com/hortres/,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物,大规模基因组测序,进行中,提高作物品质,通过基因组选择快速育种,水稻、小麦,学术机构、政府资助,农业、食品产业,国家农业基因组中心,利用基因组数据指导育种，提高育种效率。,科学期刊,https://www.sciencemag.org/,2024-09-29,,,,
精准基因编辑,非常规育种,性状改良,植物、动物,CRISPR/Cas9技术,进行中,消除遗传缺陷,利用CRISPR直接编辑目标基因,农业生物技术,国际合作、企业研发,生物科技产业,国际基因编辑研究所,采用基因编辑技术修复作物和动物的遗传缺陷。,Nature期刊,https://www.nature.com/,2024-09-29,,,,
